Fecha,Hora,CO ppm,O3  ppb,SO2 ppb,NO pbb,NO2  pbb,NOX pbb,PM10 (µg/m3)-Promedio de 24 horas
2011-01-01,00,<LD,18,0.3,0.2,2.1,2.5,43.9
2011-01-01,01,<LD,15,0.3,0.2,3.2,3.5,44.3
2011-01-01,02,0.04,12,0.3,0.2,6.1,6.8,45.5
2011-01-01,03,<LD,13,0.3,0.5,4.4,5.7,46.6
2011-01-01,04,<LD,13,0.3,0.6,1.4,2.4,48.0
2011-01-01,05,<LD,14,0.3,0.3,0.6,1.1,48.9
2011-01-01,06,<LD,16,0.4,0.3,0.2,0.6,48.9
2011-01-01,07,<LD,18,0.3,0.4,0.2,0.6,48.3
2011-01-01,08,<LD,21,0.3,0.6,1.3,2.5,47.6
2011-01-01,09,<LD,25,0.3,0.5,1.2,2.4,46.7
2011-01-01,10,<LD,29,0.2,0.2,0.2,0.3,46.0
2011-01-01,11,<LD,30,0.2,0.3,0.2,0.3,45.3
2011-01-01,12,<LD,32,0.2,0.4,1.2,1.7,44.8
2011-01-01,13,<LD,34,0.2,0.3,0.8,1.2,44.2
2011-01-01,14,<LD,35,0.2,0.3,0.3,0.4,45.4
2011-01-01,15,<LD,34,0.1,0.3,0.3,0.5,45.5
2011-01-01,16,<LD,32,0.1,0.3,0.2,0.5,45.6
2011-01-01,17,<LD,30,0.1,0.3,0.2,0.5,45.2
2011-01-01,18,<LD,29,0.1,0.2,0.2,0.3,44.9
2011-01-01,19,<LD,28,0.1,0.2,0.2,0.4,42.0
2011-01-01,20,<LD,28,0.3,0.2,0.2,0.4,43.7
2011-01-01,21,<LD,26,0.3,0.2,0.3,0.4,45.0
2011-01-01,22,<LD,24,0.3,0.5,0.7,1.8,45.4
2011-01-01,23,<LD,19,0.3,0.3,0.9,1.9,47.8
2011-01-02,00,<LD,16,0.3,0.2,1.1,1.5,48.6
2011-01-02,01,<LD,14,0.3,0.3,2.4,2.9,48.7
2011-01-02,02,<LD,15,0.3,0.2,3.6,4.1,48.2
2011-01-02,03,<LD,15,0.3,0.4,2.6,3.4,47.7
2011-01-02,04,<LD,14,0.3,0.4,1.9,3.2,46.6
2011-01-02,05,<LD,12,0.3,0.3,1.6,2.3,46.0
2011-01-02,06,<LD,11,0.3,0.3,1.8,2.1,45.1
2011-01-02,07,<LD,13,0.3,0.6,1.8,3.3,44.7
