Fecha,Hora,CO ppm,O3 ppb,SO2 ppb,NO pbb,NO2  pbb,NOX pbb,PM10 (µg/m3)-Promedio de 24 horas
2012-01-01,00,<LD,37,0.7,0.7,2.1,3.4,48.3
2012-01-01,01,<LD,26,0.6,0.4,2.1,2.4,53.9
2012-01-01,02,<LD,19,0.6,0.4,2.9,3.3,59.0
2012-01-01,03,<LD,18,0.5,0.4,3.0,3.8,61.5
2012-01-01,04,<LD,20,0.4,0.4,0.9,1.5,65.0
2012-01-01,05,<LD,20,0.4,0.5,0.8,1.5,70.7
2012-01-01,06,<LD,24,0.4,0.4,1.2,1.6,77.5
2012-01-01,07,<LD,22,0.4,0.4,1.9,2.4,85.7
2012-01-01,08,<LD,27,0.5,0.8,1.6,3.1,94.5
2012-01-01,09,<LD,29,0.5,0.4,0.8,1.1,103.0
2012-01-01,10,<LD,30,0.6,1.4,4.9,6.9,107.6
2012-01-01,11,<LD,33,0.6,1.0,5.0,6.7,108.1
2012-01-01,12,<LD,35,0.6,1.0,4.9,6.3,108.3
2012-01-01,13,<LD,38,0.5,0.5,3.9,4.7,106.0
2012-01-01,14,<LD,38,0.5,0.5,2.7,3.3,103.4
2012-01-01,15,<LD,39,0.5,0.5,2.1,3.0,104.7
2012-01-01,16,<LD,41,0.6,0.5,1.6,2.2,105.4
2012-01-01,17,<LD,39,0.6,1.1,3.2,4.4,107.1
2012-01-01,18,<LD,17,0.4,0.4,0.8,1.3,127.1
2012-01-01,19,<LD,15,0.6,0.4,0.9,1.3,135.3
2012-01-01,20,<LD,14,1.0,0.5,0.5,1.2,136.0
2012-01-01,21,<LD,13,0.6,0.4,0.8,1.0,135.0
2012-01-01,22,<LD,13,0.4,0.6,0.8,1.7,130.4
2012-01-01,23,<LD,12,0.3,0.4,0.5,0.6,129.2
2012-01-02,00,<LD,10,0.5,1.2,3.9,5.6,126.3
2012-01-02,01,<LD,8,2.7,0.7,3.8,4.9,121.1
2012-01-02,02,<LD,7,4.4,0.8,5.3,6.4,116.3
2012-01-02,03,<LD,6,1.9,0.4,4.2,5.0,114.6
2012-01-02,04,<LD,6,0.8,0.4,3.8,4.3,111.1
2012-01-02,05,<LD,4,2.7,1.6,7.5,9.9,105.9
2012-01-02,06,<LD,2,1.3,9.9,11.5,22.8,99.5
2012-01-02,07,<LD,8,3.4,3.7,6.9,11.9,93.0
2012-01-02,08,<LD,14,0.6,1.0,1.7,3.1,84.6
2012-01-02,09,<LD,16,0.5,1.0,0.8,2.3,76.5
2012-01-02,10,<LD,14,0.5,1.7,1.4,4.0,73.3
2012-01-02,11,<LD,13,0.6,1.6,1.4,3.7,72.0
2012-01-02,12,<LD,13,0.7,1.3,1.1,3.0,70.3
2012-01-02,13,<LD,13,0.9,0.6,0.4,0.8,69.9
2012-01-02,14,<LD,13,0.8,0.9,0.5,1.4,69.0
2012-01-02,15,<LD,13,0.8,0.9,0.9,2.3,69.1
2012-01-02,16,<LD,13,0.5,1.5,1.0,2.8,68.7
2012-01-02,17,<LD,13,0.5,1.1,0.7,2.3,67.9
2012-01-02,18,<LD,13,0.6,0.8,0.9,2.1,48.0
2012-01-02,19,<LD,13,0.4,0.7,0.8,1.5,39.4
2012-01-02,20,<LD,12,0.4,0.4,1.4,1.8,38.3
2012-01-02,21,<LD,10,0.5,0.5,1.3,2.1,37.5
2012-01-02,22,<LD,8,1.3,1.0,2.7,4.2,37.5
2012-01-02,23,<LD,8,0.8,2.1,3.5,6.6,37.2
2012-01-03,00,<LD,9,0.8,0.6,2.4,3.7,37.1
2012-01-03,01,<LD,10,0.9,1.0,0.7,2.0,36.3
2012-01-03,02,<LD,8,0.4,0.9,2.0,3.2,35.3
2012-01-03,03,<LD,6,0.5,0.5,1.5,2.3,35.0
2012-01-03,04,<LD,3,1.5,3.4,3.7,7.7,35.0
2012-01-03,05,<LD,2,1.3,10.1,5.5,16.9,34.9
2012-01-03,06,<LD,2,2.0,32.1,9.0,42.5,35.2
2012-01-03,07,0.04,4,2.5,43.2,14.5,59.3,36.5
2012-01-03,08,<LD,9,1.4,15.9,10.5,27.7,38.5
2012-01-03,09,<LD,15,0.9,6.3,6.7,14.3,39.2
2012-01-03,10,<LD,28,1.0,1.6,7.8,10.1,39.7
2012-01-03,11,<LD,33,0.9,0.9,3.9,5.1,38.7
2012-01-03,12,<LD,34,1.0,5.6,22.8,29.4,39.7
2012-01-03,13,<LD,27,0.7,2.1,6.6,9.5,40.6
2012-01-03,14,<LD,23,0.7,0.5,0.7,1.3,43.3
2012-01-03,15,<LD,24,0.9,0.8,0.7,1.8,44.0
2012-01-03,16,<LD,24,0.8,0.8,0.8,2.0,46.1
2012-01-03,17,<LD,23,0.6,0.5,0.7,1.2,47.1
2012-01-03,18,<LD,22,0.5,0.8,0.5,1.4,48.6
2012-01-03,19,<LD,17,0.7,1.8,5.9,8.5,49.2
2012-01-03,20,<LD,14,1.5,2.2,7.9,11.1,50.6
2012-01-03,21,0.06,25,1.9,1.3,7.6,9.4,55.2
2012-01-03,22,<LD,24,0.7,0.7,6.8,7.6,56.4
