Fecha,Hora,CO(ppm),O3 (ppb),SO2 (ppb),NO (pbb),NO2 (pbb),NOX (pbb),PM10 (µg/m3)-Promedio de 24 horas
2013-01-01,00,<LD,7,0.8,6.2,8.2,14.3,---
2013-01-01,01,<LD,9,0.8,0.3,2.8,2.0,---
2013-01-01,02,<LD,9,0.8,0.2,1.9,0.6,---
2013-01-01,03,<LD,9,0.8,0.2,1.8,0.4,---
2013-01-01,04,<LD,9,0.7,0.2,1.8,0.4,---
2013-01-01,05,<LD,8,0.7,0.3,1.8,0.5,---
2013-01-01,06,<LD,8,0.7,0.3,1.8,0.6,---
2013-01-01,07,<LD,8,0.8,6.5,5.7,11.9,---
2013-01-01,08,<LD,8,0.8,8.2,7.5,15.8,---
2013-01-01,09,<LD,9,0.8,10.4,7.9,18.4,---
2013-01-01,10,<LD,10,0.9,13.5,9.8,23.4,---
2013-01-01,11,<LD,11,0.9,7.8,6.5,14.3,---
2013-01-01,12,<LD,11,0.8,4.9,6.3,12.0,---
2013-01-01,13,<LD,12,0.8,2.3,4.4,6.3,---
2013-01-01,14,<LD,13,0.8,2.4,4.6,6.7,---
2013-01-01,15,<LD,14,0.8,1.0,3.1,3.6,---
2013-01-01,16,<LD,14,0.8,1.4,4.2,4.9,---
2013-01-01,17,<LD,13,0.8,0.5,3.0,3.0,---
2013-01-01,18,<LD,14,0.8,0.3,2.1,1.4,---
2013-01-01,19,<LD,13,0.8,0.2,2.0,0.8,---
2013-01-01,20,<LD,12,0.8,0.2,2.8,1.6,---
2013-01-01,21,<LD,9,0.8,0.2,5.1,4.1,---
2013-01-01,22,<LD,5,0.8,0.2,9.8,9.0,---
2013-01-01,23,<LD,5,0.8,0.3,9.1,8.5,---
2013-01-02,00,0.04,4,0.8,1.0,10.3,10.9,---
2013-01-02,01,<LD,5,0.8,0.5,7.9,7.8,---
2013-01-02,02,<LD,4,0.8,0.9,8.6,8.6,---
2013-01-02,03,<LD,4,0.8,0.4,7.3,6.4,---
2013-01-02,04,<LD,3,0.8,1.7,9.1,10.2,---
2013-01-02,05,<LD,1,0.8,4.4,10.1,14.3,---
2013-01-02,06,0.13,<LD,1.4,62.2,28.0,83.1,---
2013-01-02,07,0.06,3,1.1,22.4,12.8,35.1,---
2013-01-02,08,0.06,7,1.2,17.2,11.9,28.2,---
2013-01-02,09,0.13,10,2.4,9.8,10.7,20.1,---
2013-01-02,10,<LD,13,2.2,2.3,4.6,6.3,---
2013-01-02,11,<LD,15,1.5,1.4,5.2,6.5,---
2013-01-02,12,<LD,22,1.3,4.5,11.0,15.6,---
2013-01-02,13,<LD,28,1.4,2.4,11.9,14.4,---
2013-01-02,14,<LD,28,1.1,1.0,8.5,9.3,---
2013-01-02,15,<LD,18,0.9,1.3,5.0,5.8,---
2013-01-02,16,<LD,23,1.0,0.9,4.1,4.5,---
2013-01-02,17,<LD,20,1.0,0.3,3.3,2.8,---
2013-01-02,18,<LD,17,0.9,0.2,2.7,1.8,---
2013-01-02,19,<LD,14,0.8,0.3,3.3,2.5,---
2013-01-02,20,<LD,8,0.9,1.4,9.7,10.4,---
2013-01-02,21,<LD,11,0.9,0.9,8.9,8.5,---
2013-01-02,22,<LD,16,0.8,1.1,5.2,4.4,---
2013-01-02,23,<LD,14,0.8,1.1,7.1,6.9,---
2013-01-03,00,<LD,15,0.8,0.3,6.7,5.6,---
2013-01-03,01,<LD,15,0.8,0.3,6.2,5.2,---
2013-01-03,02,<LD,13,0.8,0.4,8.4,7.7,---
2013-01-03,03,<LD,17,0.8,0.2,4.3,3.1,---
2013-01-03,04,<LD,16,0.8,0.3,4.5,3.6,---
2013-01-03,05,<LD,16,0.8,0.5,5.1,4.4,47.0
2013-01-03,06,<LD,18,0.8,1.9,6.9,8.0,47.0
2013-01-03,07,<LD,18,0.8,4.4,8.4,12.6,57.7
2013-01-03,08,<LD,20,0.8,5.5,6.9,11.7,86.1
