Fecha,hora,CO ppm,O3  ppb,SO2 ppb,NO  pbb,NO2  pbb,NOX  pbb,PM10 (µg/m3)-Promedio de 24 horas
2014-01-01,00,0.42,6,3.8,0.3,3.4,3.3,38.6
2014-01-01,01,0.38,6,3.4,0.7,4.5,4.8,37.6
2014-01-01,02,0.37,7,2.7,0.3,1.1,1.1,40.3
2014-01-01,03,0.36,8,1.0,0.2,0.4,0.3,36.9
2014-01-01,04,0.35,7,0.7,0.3,0.3,0.3,37.6
2014-01-01,05,0.35,6,0.6,0.3,0.3,0.3,39.3
2014-01-01,06,0.36,6,0.6,1.1,1.1,2.2,38.6
2014-01-01,07,0.35,7,0.6,1.2,0.9,2.1,36.6
2014-01-01,08,0.36,8,0.5,0.6,0.6,1.1,35.4
2014-01-01,09,0.36,8,0.5,0.5,0.4,0.6,34.7
2014-01-01,10,0.35,9,0.4,0.4,0.4,0.5,33.5
2014-01-01,11,0.34,10,0.4,0.3,0.3,0.3,33.7
2014-01-01,12,0.33,10,0.4,0.4,0.3,0.4,33.5
2014-01-01,13,0.34,9,0.4,0.3,0.3,0.4,31.3
2014-01-01,14,0.33,10,0.4,0.3,0.3,0.3,31.7
2014-01-01,15,0.33,10,0.4,0.2,0.2,0.2,30.8
2014-01-01,16,0.33,11,0.4,0.2,0.3,0.3,31.3
2014-01-01,17,0.33,12,0.4,0.3,0.3,0.4,29.8
2014-01-01,18,0.33,12,0.4,0.3,0.3,0.3,30.3
2014-01-01,19,0.34,13,0.4,0.3,0.4,0.5,28.6
2014-01-01,20,0.36,9,4.4,0.8,4.4,4.6,28.1
2014-01-01,21,0.45,3,1.3,1.2,9.5,10.4,28.6
2014-01-01,22,0.51,1,1.1,0.4,10.6,10.8,29.8
2014-01-01,23,0.40,3,0.6,0.8,6.2,6.4,30.5
2014-01-02,00,0.37,4,0.8,1.3,3.4,4.2,30.3
2014-01-02,01,0.43,5,3.6,0.3,3.2,3.1,30.0
2014-01-02,02,0.34,7,0.8,0.4,0.4,0.5,30.0
2014-01-02,03,0.35,7,0.6,0.3,0.3,0.4,27.8
2014-01-02,04,0.34,7,0.5,0.4,0.5,0.7,28.6
2014-01-02,05,0.39,2,1.2,7.9,8.1,16.0,27.6
2014-01-02,06,0.38,1,0.9,11.4,9.0,20.5,29.8
2014-01-02,07,0.40,4,0.7,3.2,3.5,6.7,31.5
2014-01-02,08,0.39,3,0.8,9.0,6.0,15.0,33.0
2014-01-02,09,0.38,3,0.8,9.6,6.3,16.0,32.7
2014-01-02,10,0.37,5,0.8,4.6,3.4,7.9,35.4
2014-01-02,11,0.38,6,0.7,3.2,2.2,5.3,35.2
2014-01-02,12,0.38,6,0.7,2.4,2.0,4.4,36.6
2014-01-02,13,0.38,6,0.7,2.9,2.1,4.5,38.3
2014-01-02,14,0.38,6,0.9,2.8,2.4,5.2,38.6
2014-01-02,15,0.38,5,0.9,5.5,4.2,9.8,40.8
2014-01-02,16,0.39,5,0.9,6.3,4.4,10.6,43.2
