Fecha,hora,CO ppm,O3  ppb,SO2 ppb,NO  pbb,NO2  pbb,NOX  pbb,PM10 (µg/m3)-Promedio de 24 horas
2015-01-01,00,0.06,22,0.3,0.2,1.6,1.5,35.0
2015-01-01,01,0.05,20,0.3,0.3,1.8,1.8,34.9
2015-01-01,02,0.05,20,0.3,0.3,0.8,0.8,35.2
2015-01-01,03,0.05,19,0.3,0.2,0.9,0.8,35.4
2015-01-01,04,0.04,17,0.3,0.2,0.7,0.6,35.2
2015-01-01,05,< LD,17,0.3,0.3,0.5,0.4,35.1
2015-01-01,06,< LD,17,0.3,0.3,0.5,0.4,34.4
2015-01-01,07,< LD,16,0.3,0.3,0.4,0.4,34.0
2015-01-01,08,< LD,17,0.3,0.2,0.3,0.3,33.8
2015-01-01,09,0.04,19,0.3,0.2,0.3,0.3,42.1
2015-01-01,10,0.04,19,0.3,0.2,0.4,0.4,42.9
2015-01-01,11,0.05,16,0.3,1.9,1.1,2.8,42.6
2015-01-01,12,0.05,16,0.3,1.3,1.1,2.3,42.1
2015-01-01,13,0.05,17,0.3,2.9,2.2,5.1,42.8
2015-01-01,14,0.05,18,0.3,5.2,3.8,9.1,43.8
2015-01-01,15,0.05,18,0.3,4.5,3.9,8.5,44.0
2015-01-01,16,0.04,18,0.3,3.4,3.4,6.8,43.5
2015-01-01,17,0.04,18,0.3,3.3,3.9,7.3,42.7
2015-01-01,18,0.04,16,0.3,5.1,5.8,11.0,31.2
2015-01-01,19,< LD,15,0.3,6.5,6.8,13.5,31.5
2015-01-01,20,0.04,15,0.3,4.8,6.4,11.3,31.6
2015-01-01,21,0.04,14,0.3,3.2,6.3,9.6,29.5
2015-01-01,22,0.04,15,0.3,3.3,4.5,7.8,29.5
2015-01-01,23,< LD,16,0.3,1.8,2.7,4.5,29.6
2015-01-02,00,< LD,18,0.3,0.3,0.5,0.5,29.0
2015-01-02,01,< LD,17,0.3,0.5,0.8,1.1,28.9
2015-01-02,02,< LD,16,0.3,0.5,0.9,1.2,28.6
2015-01-02,03,< LD,16,0.3,1.2,1.5,2.8,28.0
2015-01-02,04,< LD,15,0.3,2.8,2.2,5.0,28.8
2015-01-02,05,< LD,15,0.3,1.7,1.6,3.2,29.6
2015-01-02,06,< LD,15,0.3,0.7,1.0,1.5,29.8
2015-01-02,07,< LD,15,0.3,1.8,1.1,2.8,29.4
2015-01-02,08,0.08,17,0.3,9.9,7.5,17.1,28.4
2015-01-02,09,0.06,18,0.3,3.2,2.8,6.0,19.1
2015-01-02,10,0.06,18,0.3,2.5,2.5,5.0,18.3
2015-01-02,11,0.06,18,0.3,2.7,2.4,5.1,18.3
2015-01-02,12,0.04,19,0.3,3.0,2.9,6.0,18.3
2015-01-02,13,0.04,20,0.3,1.6,2.0,3.6,17.7
2015-01-02,14,0.04,20,0.3,1.1,1.8,2.9,17.3
2015-01-02,15,0.04,20,0.3,2.1,2.2,4.3,17.1
2015-01-02,16,0.04,21,0.3,0.7,1.6,2.3,17.5
2015-01-02,17,0.04,21,0.3,0.4,1.1,1.4,18.8
2015-01-02,18,0.04,21,0.3,0.2,0.5,0.6,18.3
2015-01-02,19,0.04,20,0.3,0.3,0.8,0.9,18.8
2015-01-02,20,0.05,18,0.3,0.3,1.5,1.6,19.4
2015-01-02,21,0.07,16,0.3,0.8,3.6,4.4,20.2
2015-01-02,22,0.08,14,0.3,0.4,3.2,3.5,20.9
2015-01-02,23,0.06,14,0.3,1.1,2.9,4.0,20.8
2015-01-03,00,0.05,15,0.3,0.5,2.2,2.6,21.1
2015-01-03,01,0.04,14,0.3,1.2,2.7,3.9,21.3
2015-01-03,02,0.05,13,0.3,0.6,2.5,3.0,21.2
2015-01-03,03,0.04,17,0.3,0.3,1.7,1.8,20.9
2015-01-03,04,< LD,19,0.3,0.4,1.0,1.0,20.3
2015-01-03,05,0.04,23,0.3,0.4,1.1,1.1,22.4
2015-01-03,06,0.04,23,0.3,0.4,1.3,1.3,27.9
2015-01-03,07,0.04,22,0.3,0.9,3.9,4.6,34.0
2015-01-03,08,0.05,22,0.3,5.6,7.5,12.0,38.7
2015-01-03,09,0.06,24,0.3,2.9,2.5,4.4,41.1
2015-01-03,10,0.08,25,0.4,19.8,10.1,27.1,44.1
2015-01-03,11,0.09,25,0.3,4.0,4.2,7.9,44.3
2015-01-03,12,0.07,25,0.3,2.1,2.6,4.6,47.2
2015-01-03,13,0.06,25,0.3,0.3,0.4,0.4,50.7
2015-01-03,14,0.05,24,0.3,0.2,0.3,0.3,51.0
2015-01-03,15,0.04,22,0.3,1.0,1.0,1.9,51.1
