"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO,AIRQ_NO2,DATASET
2015-01-01:00:00,2015-01-01,00,0.06,0.2,1.6,CALID-DE-AIRE-ANO-2015
2015-01-01:01:00,2015-01-01,01,0.05,0.3,1.8,CALID-DE-AIRE-ANO-2015
2015-01-01:02:00,2015-01-01,02,0.05,0.3,0.8,CALID-DE-AIRE-ANO-2015
2015-01-01:03:00,2015-01-01,03,0.05,0.2,0.9,CALID-DE-AIRE-ANO-2015
2015-01-01:04:00,2015-01-01,04,0.04,0.2,0.7,CALID-DE-AIRE-ANO-2015
2015-01-01:05:00,2015-01-01,05,< LD,0.3,0.5,CALID-DE-AIRE-ANO-2015
2015-01-01:06:00,2015-01-01,06,< LD,0.3,0.5,CALID-DE-AIRE-ANO-2015
2015-01-01:07:00,2015-01-01,07,< LD,0.3,0.4,CALID-DE-AIRE-ANO-2015
2015-01-01:08:00,2015-01-01,08,< LD,0.2,0.3,CALID-DE-AIRE-ANO-2015
2015-01-01:09:00,2015-01-01,09,0.04,0.2,0.3,CALID-DE-AIRE-ANO-2015
2015-01-01:10:00,2015-01-01,10,0.04,0.2,0.4,CALID-DE-AIRE-ANO-2015
2015-01-01:11:00,2015-01-01,11,0.05,1.9,1.1,CALID-DE-AIRE-ANO-2015
2015-01-01:12:00,2015-01-01,12,0.05,1.3,1.1,CALID-DE-AIRE-ANO-2015
2015-01-01:13:00,2015-01-01,13,0.05,2.9,2.2,CALID-DE-AIRE-ANO-2015
2015-01-01:14:00,2015-01-01,14,0.05,5.2,3.8,CALID-DE-AIRE-ANO-2015
2015-01-01:15:00,2015-01-01,15,0.05,4.5,3.9,CALID-DE-AIRE-ANO-2015
2015-01-01:16:00,2015-01-01,16,0.04,3.4,3.4,CALID-DE-AIRE-ANO-2015
2015-01-01:17:00,2015-01-01,17,0.04,3.3,3.9,CALID-DE-AIRE-ANO-2015
2015-01-01:18:00,2015-01-01,18,0.04,5.1,5.8,CALID-DE-AIRE-ANO-2015
2015-01-01:19:00,2015-01-01,19,< LD,6.5,6.8,CALID-DE-AIRE-ANO-2015
2015-01-01:20:00,2015-01-01,20,0.04,4.8,6.4,CALID-DE-AIRE-ANO-2015
2015-01-01:21:00,2015-01-01,21,0.04,3.2,6.3,CALID-DE-AIRE-ANO-2015
2015-01-01:22:00,2015-01-01,22,0.04,3.3,4.5,CALID-DE-AIRE-ANO-2015
