"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2016-05-02:13:15,05/02/2016,13:15:00,13.79,7.42,9.75,94.45,crbuoy2016
2016-05-02:13:30,05/02/2016,13:30:00,13.78,7.42,9.7,94,crbuoy2016
2016-05-02:13:45,05/02/2016,13:45:00,13.8,7.43,9.77,94.72,crbuoy2016
2016-05-02:14:00,05/02/2016,14:00:00,13.78,7.43,9.79,94.84,crbuoy2016
2016-05-02:14:15,05/02/2016,14:15:00,13.79,7.43,9.82,95.16,crbuoy2016
2016-05-02:14:30,05/02/2016,14:30:00,13.81,7.43,9.77,94.69,crbuoy2016
2016-05-02:14:45,05/02/2016,14:45:00,13.82,7.44,9.84,95.39,crbuoy2016
2016-05-02:15:00,05/02/2016,15:00:00,13.83,7.44,9.87,95.7,crbuoy2016
2016-05-02:15:15,05/02/2016,15:15:00,13.86,7.42,9.77,94.79,crbuoy2016
2016-05-02:15:30,05/02/2016,15:30:00,13.83,7.42,9.78,94.83,crbuoy2016
2016-05-02:15:45,05/02/2016,15:45:00,13.84,7.41,9.75,94.58,crbuoy2016
2016-05-02:16:00,05/02/2016,16:00:00,13.82,7.43,9.8,95.07,crbuoy2016
2016-05-02:16:15,05/02/2016,16:15:00,13.82,7.44,9.84,95.42,crbuoy2016
2016-05-02:16:30,05/02/2016,16:30:00,13.82,7.43,9.84,95.41,crbuoy2016
2016-05-02:16:45,05/02/2016,16:45:00,13.79,7.45,9.93,96.24,crbuoy2016
2016-05-02:17:00,05/02/2016,17:00:00,13.79,7.46,9.96,96.51,crbuoy2016
2016-05-02:17:15,05/02/2016,17:15:00,13.77,7.47,9.99,96.77,crbuoy2016
2016-05-02:17:30,05/02/2016,17:30:00,13.76,7.49,10.09,97.69,crbuoy2016
2016-05-02:17:45,05/02/2016,17:45:00,13.75,7.5,10.1,97.79,crbuoy2016
2016-05-02:18:00,05/02/2016,18:00:00,13.75,7.5,10.13,98.12,crbuoy2016
2016-05-02:18:15,05/02/2016,18:15:00,13.75,7.5,10.09,97.68,crbuoy2016
2016-05-02:18:30,05/02/2016,18:30:00,13.75,7.5,10.1,97.81,crbuoy2016
2016-05-02:18:45,05/02/2016,18:45:00,13.74,7.49,10.06,97.35,crbuoy2016
2016-05-02:19:00,05/02/2016,19:00:00,13.75,7.49,10.05,97.25,crbuoy2016
2016-05-02:19:15,05/02/2016,19:15:00,13.74,7.47,9.97,96.49,crbuoy2016
2016-05-02:19:30,05/02/2016,19:30:00,13.74,7.47,9.92,96.03,crbuoy2016
2016-05-02:19:45,05/02/2016,19:45:00,13.74,7.46,9.89,95.74,crbuoy2016
2016-05-02:20:00,05/02/2016,20:00:00,13.72,7.46,9.87,95.52,crbuoy2016
2016-05-02:20:15,05/02/2016,20:15:00,13.73,7.45,9.82,94.97,crbuoy2016
2016-05-02:20:30,05/02/2016,20:30:00,13.73,7.44,9.78,94.59,crbuoy2016
2016-05-02:20:45,05/02/2016,20:45:00,13.72,7.44,9.76,94.42,crbuoy2016
2016-05-02:21:00,05/02/2016,21:00:00,13.72,7.42,9.68,93.63,crbuoy2016
2016-05-02:21:15,05/02/2016,21:15:00,13.71,7.4,9.56,92.51,crbuoy2016
2016-05-02:21:30,05/02/2016,21:30:00,13.7,7.41,9.63,93.08,crbuoy2016
2016-05-02:21:45,05/02/2016,21:45:00,13.72,7.42,9.69,93.77,crbuoy2016
2016-05-02:22:00,05/02/2016,22:00:00,13.7,7.42,9.69,93.68,crbuoy2016
2016-05-02:22:15,05/02/2016,22:15:00,13.69,7.42,9.72,93.94,crbuoy2016
2016-05-02:22:30,05/02/2016,22:30:00,13.68,7.41,9.63,93.09,crbuoy2016
