FECHA,HORA,AMPM,WATERQ_Cond25
01/08/2013,03:48:00,p.m.,98.23,
01/08/2013,04:24:00,p.m.,98.43,
01/08/2013,04:46:00,p.m.,98.4,
01/08/2013,05:07:00,p.m.,98.55,
02/02/2017,07:08:00,p.m.,135.07,
02/06/2014,01:30:00,p.m.,95.88,
02/06/2014,12:45:00,p.m.,105.97,
02/11/2012,10:45:00,a.m.,123.312,
02/11/2012,11:15:00,a.m.,122.463,
02/11/2012,11:33:00,a.m.,121.737,
02/11/2012,11:56:00,a.m.,164.741,
05/01/2012,05:55:00,p.m.,170.88,
05/02/2013,06:32:00,p.m.,157.73,
05/02/2013,06:58:00,p.m.,157.47,
05/02/2013,07:18:00,p.m.,158.38,
05/02/2013,07:36:00,p.m.,160.11,
07/08/2014,11:30:00,a.m.,95.82,
07/08/2014,11:50:00,a.m.,97.09,
08/11/2016,05:00:00,p.m.,194,
15/12/2016,10:30:00,a.m.,144.78,
16/08/2011,05:38:00,p.m.,73.675,
16/08/2011,05:58:00,p.m.,76.64,
16/08/2011,06:18:00,p.m.,80.268,
18/08/2016,11:53:00,a.m.,120.89,
20/06/2012,02:20:00,p.m.,155.395,
20/06/2012,02:38:00,p.m.,155.373,
20/06/2012,02:57:00,p.m.,155.389,
20/06/2012,03:15:00,p.m.,155.521,
22/02/2011,01:01:00,p.m.,81.38,
22/02/2011,01:35:00,p.m.,82.385,
22/02/2011,01:56:00,p.m.,83.551,
22/02/2011,02:05:00,p.m.,82.824,
22/04/2013,06:29:00,p.m.,88,
22/04/2013,06:50:00,p.m.,88,
22/08/2012,05:07:00,p.m.,145.01,
22/08/2012,05:25:00,p.m.,146,
22/08/2012,05:47:00,p.m.,146,
22/09/2016,09:15:00,a.m.,171.35,
26/11/2013,01:03:00,p.m.,117,
26/11/2013,12:28:00,p.m.,117,
