FECHA,HORA,AMPM,WATERQ_Temp
01/08/2013,03:48:00,p.m.,19.9,
01/08/2013,04:24:00,p.m.,20.1,
01/08/2013,04:46:00,p.m.,19.9,
01/08/2013,05:07:00,p.m.,20,
02/02/2017,07:08:00,p.m.,26.5,
02/06/2014,01:30:00,p.m.,18.6,
02/06/2014,12:45:00,p.m.,17.9,
02/11/2012,10:45:00,a.m.,29,
02/11/2012,11:15:00,a.m.,29.5,
02/11/2012,11:33:00,a.m.,29.5,
02/11/2012,11:56:00,a.m.,29.3,
05/01/2012,05:55:00,p.m.,30,
05/02/2013,06:32:00,p.m.,31,
05/02/2013,06:58:00,p.m.,31,
05/02/2013,07:18:00,p.m.,30.9,
05/02/2013,07:36:00,p.m.,30.9,
07/08/2014,11:30:00,a.m.,18.6,
07/08/2014,11:50:00,a.m.,19.3,
08/11/2016,05:00:00,p.m.,26,
15/12/2016,10:30:00,a.m.,27.6,
16/08/2011,05:38:00,p.m.,22.5,
16/08/2011,05:58:00,p.m.,22.6,
16/08/2011,06:18:00,p.m.,22.6,
18/08/2016,11:53:00,a.m.,20.1,
20/06/2012,02:20:00,p.m.,20.5,
20/06/2012,02:38:00,p.m.,20.5,
20/06/2012,02:57:00,p.m.,20.5,
20/06/2012,03:15:00,p.m.,20.5,
22/02/2011,01:01:00,p.m.,29.8,
22/02/2011,01:35:00,p.m.,29.8,
22/02/2011,01:56:00,p.m.,29.8,
22/02/2011,02:05:00,p.m.,29.8,
22/04/2013,06:29:00,p.m.,25.1,
22/04/2013,06:50:00,p.m.,25.1,
22/08/2012,05:07:00,p.m.,24.2,
22/08/2012,05:25:00,p.m.,24.2,
22/08/2012,05:47:00,p.m.,24.2,
22/09/2016,09:15:00,a.m.,24.9,
26/11/2013,01:03:00,p.m.,28.8,
26/11/2013,12:28:00,p.m.,28.9,
