FECHA,HORA,AMPM,WATERQ_Cond
08/02/2012,05:25:00,p.m.,144.43,
08/02/2012,05:41:00,p.m.,144.11,
09/08/2011,05:30:00,p.m.,121.96,
09/08/2011,05:44:00,p.m.,121.77,
10/04/2014,03:40:00,p.m.,189.56,
10/04/2014,03:45:00,p.m.,204.56,
11/10/2012,03:59:00,p.m.,249.06,
11/10/2012,04:08:00,p.m.,249.07,
11/12/2013,04:19:00,p.m.,173.29,
12/02/2014,02:19:00,p.m.,239.82,
12/02/2014,03:10:00,p.m.,231.92,
12/10/2011,06:24:00,p.m.,182.91,
12/10/2011,06:36:00,p.m.,182.24,
14/08/2013,03:58:00,p.m.,90.91,
15/08/2012,04:39:00,p.m.,135.18,
20/08/2014,02:55:00,p.m.,105.24,
28/06/2012,05:02:00,p.m.,130.66,
28/06/2012,05:12:00,p.m.,130.04,
