FECHA,HORA,AMPM,WATERQ_Cond25
08/02/2012,05:25:00,p.m.,136.211,
08/02/2012,05:41:00,p.m.,135.949,
09/08/2011,05:30:00,p.m.,156.195,
09/08/2011,05:44:00,p.m.,155.971,
10/04/2014,03:40:00,p.m.,209.33,
10/04/2014,03:45:00,p.m.,238.44,
11/10/2012,03:59:00,p.m.,275.33,
11/10/2012,04:08:00,p.m.,275.289,
11/12/2013,04:19:00,p.m.,168.7,
12/02/2014,02:19:00,p.m.,249.27,
12/02/2014,03:10:00,p.m.,240.43,
12/10/2011,06:24:00,p.m.,202,
12/10/2011,06:36:00,p.m.,201.28,
14/02/2017,06:28:00,p.m.,269.23,
14/08/2013,03:58:00,p.m.,114.44,
15/08/2012,04:39:00,p.m.,160.14,
20/08/2014,02:55:00,p.m.,127.558,
28/06/2012,05:02:00,p.m.,156.963,
28/06/2012,05:12:00,p.m.,156.213,
