"FECHA_HORA",FECHA,HORA,AMPM,WATERQ_Cond25,DATASET
2017-03-03:09:41,03/03/2017,09:41:00,a.m.,108.47,DATASET-GGY-WATERQ_Cond25
2012-07-05:02:12,05/07/2012,02:12:00,p.m.,543.3,DATASET-GGY-WATERQ_Cond25
2012-03-08:01:34,08/03/2012,01:34:00,p.m.,82.6,DATASET-GGY-WATERQ_Cond25
2011-11-08:11:41,08/11/2011,11:41:00,a.m.,94.2,DATASET-GGY-WATERQ_Cond25
2012-11-08:05:41,08/11/2012,05:41:00,p.m.,82.523,DATASET-GGY-WATERQ_Cond25
2016-11-10:08:15,10/11/2016,08:15:00,a.m.,62.96,DATASET-GGY-WATERQ_Cond25
2013-07-11:02:00,11/07/2013,02:00:00,p.m.,490.33,DATASET-GGY-WATERQ_Cond25
2017-01-12:09:48,12/01/2017,09:48:00,a.m.,118.33,DATASET-GGY-WATERQ_Cond25
2011-07-12:04:30,12/07/2011,04:30:00,p.m.,135.8,DATASET-GGY-WATERQ_Cond25
2013-11-12:04:48,12/11/2013,04:48:00,p.m.,106.23,DATASET-GGY-WATERQ_Cond25
2016-07-13:11:15,13/07/2016,11:15:00,a.m.,100.7,DATASET-GGY-WATERQ_Cond25
2012-05-22:02:00,22/05/2012,02:00:00,p.m.,136.8,DATASET-GGY-WATERQ_Cond25
