"FECHA_HORA",FECHA,HORA,AMPM,WATERQ_Temp,DATASET
2017-03-03:09:41,03/03/2017,09:41:00,a.m.,30.3,DATASET-GGY-WATERQ_Temp
2012-07-05:02:12,05/07/2012,02:12:00,p.m.,21.2,DATASET-GGY-WATERQ_Temp
2012-03-08:01:34,08/03/2012,01:34:00,p.m.,27.1,DATASET-GGY-WATERQ_Temp
2011-11-08:11:41,08/11/2011,11:41:00,a.m.,25.9,DATASET-GGY-WATERQ_Temp
2012-11-08:05:41,08/11/2012,05:41:00,p.m.,28.6,DATASET-GGY-WATERQ_Temp
2016-11-10:08:15,10/11/2016,08:15:00,a.m.,22.4,DATASET-GGY-WATERQ_Temp
2013-07-11:02:00,11/07/2013,02:00:00,p.m.,14.1,DATASET-GGY-WATERQ_Temp
2017-01-12:09:48,12/01/2017,09:48:00,a.m.,27.2,DATASET-GGY-WATERQ_Temp
2011-07-12:04:30,12/07/2011,04:30:00,p.m.,12.9,DATASET-GGY-WATERQ_Temp
2013-11-12:04:48,12/11/2013,04:48:00,p.m.,23.5,DATASET-GGY-WATERQ_Temp
2016-07-13:11:15,13/07/2016,11:15:00,a.m.,13.6,DATASET-GGY-WATERQ_Temp
2012-05-22:02:00,22/05/2012,02:00:00,p.m.,12.9,DATASET-GGY-WATERQ_Temp
