"FECHA_HORA",FECHA,HORA,AMPM,WATERQ_Temp,DATASET
2013-08-01:03:48,01/08/2013,03:48:00,p.m.,19.9,DATASET-PGY-WATERQ_Temp
2013-08-01:04:24,01/08/2013,04:24:00,p.m.,20.1,DATASET-PGY-WATERQ_Temp
2013-08-01:04:46,01/08/2013,04:46:00,p.m.,19.9,DATASET-PGY-WATERQ_Temp
2013-08-01:05:07,01/08/2013,05:07:00,p.m.,20,DATASET-PGY-WATERQ_Temp
2017-02-02:07:08,02/02/2017,07:08:00,p.m.,26.5,DATASET-PGY-WATERQ_Temp
2014-06-02:01:30,02/06/2014,01:30:00,p.m.,18.6,DATASET-PGY-WATERQ_Temp
2014-06-02:12:45,02/06/2014,12:45:00,p.m.,17.9,DATASET-PGY-WATERQ_Temp
2012-11-02:10:45,02/11/2012,10:45:00,a.m.,29,DATASET-PGY-WATERQ_Temp
2012-11-02:11:15,02/11/2012,11:15:00,a.m.,29.5,DATASET-PGY-WATERQ_Temp
2012-11-02:11:33,02/11/2012,11:33:00,a.m.,29.5,DATASET-PGY-WATERQ_Temp
2012-11-02:11:56,02/11/2012,11:56:00,a.m.,29.3,DATASET-PGY-WATERQ_Temp
2012-01-05:05:55,05/01/2012,05:55:00,p.m.,30,DATASET-PGY-WATERQ_Temp
2013-02-05:06:32,05/02/2013,06:32:00,p.m.,31,DATASET-PGY-WATERQ_Temp
2013-02-05:06:58,05/02/2013,06:58:00,p.m.,31,DATASET-PGY-WATERQ_Temp
2013-02-05:07:18,05/02/2013,07:18:00,p.m.,30.9,DATASET-PGY-WATERQ_Temp
2013-02-05:07:36,05/02/2013,07:36:00,p.m.,30.9,DATASET-PGY-WATERQ_Temp
2014-08-07:11:30,07/08/2014,11:30:00,a.m.,18.6,DATASET-PGY-WATERQ_Temp
2014-08-07:11:50,07/08/2014,11:50:00,a.m.,19.3,DATASET-PGY-WATERQ_Temp
2016-11-08:05:00,08/11/2016,05:00:00,p.m.,26,DATASET-PGY-WATERQ_Temp
2016-12-15:10:30,15/12/2016,10:30:00,a.m.,27.6,DATASET-PGY-WATERQ_Temp
2011-08-16:05:38,16/08/2011,05:38:00,p.m.,22.5,DATASET-PGY-WATERQ_Temp
2011-08-16:05:58,16/08/2011,05:58:00,p.m.,22.6,DATASET-PGY-WATERQ_Temp
2011-08-16:06:18,16/08/2011,06:18:00,p.m.,22.6,DATASET-PGY-WATERQ_Temp
2016-08-18:11:53,18/08/2016,11:53:00,a.m.,20.1,DATASET-PGY-WATERQ_Temp
2012-06-20:02:20,20/06/2012,02:20:00,p.m.,20.5,DATASET-PGY-WATERQ_Temp
2012-06-20:02:38,20/06/2012,02:38:00,p.m.,20.5,DATASET-PGY-WATERQ_Temp
2012-06-20:02:57,20/06/2012,02:57:00,p.m.,20.5,DATASET-PGY-WATERQ_Temp
2012-06-20:03:15,20/06/2012,03:15:00,p.m.,20.5,DATASET-PGY-WATERQ_Temp
2011-02-22:01:01,22/02/2011,01:01:00,p.m.,29.8,DATASET-PGY-WATERQ_Temp
2011-02-22:01:35,22/02/2011,01:35:00,p.m.,29.8,DATASET-PGY-WATERQ_Temp
2011-02-22:01:56,22/02/2011,01:56:00,p.m.,29.8,DATASET-PGY-WATERQ_Temp
2011-02-22:02:05,22/02/2011,02:05:00,p.m.,29.8,DATASET-PGY-WATERQ_Temp
2013-04-22:06:29,22/04/2013,06:29:00,p.m.,25.1,DATASET-PGY-WATERQ_Temp
2013-04-22:06:50,22/04/2013,06:50:00,p.m.,25.1,DATASET-PGY-WATERQ_Temp
2012-08-22:05:07,22/08/2012,05:07:00,p.m.,24.2,DATASET-PGY-WATERQ_Temp
2012-08-22:05:25,22/08/2012,05:25:00,p.m.,24.2,DATASET-PGY-WATERQ_Temp
2012-08-22:05:47,22/08/2012,05:47:00,p.m.,24.2,DATASET-PGY-WATERQ_Temp
2016-09-22:09:15,22/09/2016,09:15:00,a.m.,24.9,DATASET-PGY-WATERQ_Temp
2013-11-26:01:03,26/11/2013,01:03:00,p.m.,28.8,DATASET-PGY-WATERQ_Temp
2013-11-26:12:28,26/11/2013,12:28:00,p.m.,28.9,DATASET-PGY-WATERQ_Temp
