"FECHA_HORA",FECHA,HORA,AMPM,WATERQ_OD,DATASET
2012-02-08:05:25,08/02/2012,05:25:00,p.m.,7.6,DATASET-PRN-WATERQ_OD
2012-02-08:05:41,08/02/2012,05:41:00,p.m.,7.6,DATASET-PRN-WATERQ_OD
2011-08-09:05:30,09/08/2011,05:30:00,p.m.,9.3,DATASET-PRN-WATERQ_OD
2011-08-09:05:44,09/08/2011,05:44:00,p.m.,9.1,DATASET-PRN-WATERQ_OD
2014-04-10:03:40,10/04/2014,03:40:00,p.m.,7.7,DATASET-PRN-WATERQ_OD
2014-04-10:03:45,10/04/2014,03:45:00,p.m.,8.1,DATASET-PRN-WATERQ_OD
2012-10-11:03:59,11/10/2012,03:59:00,p.m.,8.3,DATASET-PRN-WATERQ_OD
2012-10-11:04:08,11/10/2012,04:08:00,p.m.,8.1,DATASET-PRN-WATERQ_OD
2013-12-11:04:19,11/12/2013,04:19:00,p.m.,8,DATASET-PRN-WATERQ_OD
2014-02-12:02:19,12/02/2014,02:19:00,p.m.,7.5,DATASET-PRN-WATERQ_OD
2014-02-12:03:10,12/02/2014,03:10:00,p.m.,8.1,DATASET-PRN-WATERQ_OD
2011-10-12:06:24,12/10/2011,06:24:00,p.m.,9.6,DATASET-PRN-WATERQ_OD
2011-10-12:06:36,12/10/2011,06:36:00,p.m.,9.4,DATASET-PRN-WATERQ_OD
2017-02-14:06:28,14/02/2017,06:28:00,p.m.,7.3,DATASET-PRN-WATERQ_OD
2013-08-14:03:58,14/08/2013,03:58:00,p.m.,9.5,DATASET-PRN-WATERQ_OD
2012-08-15:04:39,15/08/2012,04:39:00,p.m.,9.5,DATASET-PRN-WATERQ_OD
2014-08-20:02:55,20/08/2014,02:55:00,p.m.,8,DATASET-PRN-WATERQ_OD
2012-06-28:05:02,28/06/2012,05:02:00,p.m.,9.1,DATASET-PRN-WATERQ_OD
2012-06-28:05:12,28/06/2012,05:12:00,p.m.,9.5,DATASET-PRN-WATERQ_OD
