Country,Year,Electricity/Heat (CO2) (MtCO2),Manufacturing/Construction (CO2) (MtCO2),Transportation (CO2) (MtCO2),Other Fuel Combustion (CO2) (MtCO2),Fugitive Emissions (CO2) (MtCO2)
Argentina,1971,29.1,16.72,23.88,13.07,
Argentina,1972,30.8,15,25.53,12.41,
Argentina,1973,30.69,15.94,26,14.89,
Argentina,1974,28.66,17.28,26.32,15.34,
Argentina,1975,28.14,16.22,25.06,16.07,
Argentina,1976,29.53,17.61,25.01,17.41,
Argentina,1977,32.25,15.6,26.97,18.43,
Argentina,1978,29.95,16.84,27.65,18.11,
Argentina,1979,32.13,17,29.97,18.63,
Argentina,1980,30.31,16.15,30.91,18.24,0
Argentina,1981,29.13,14.98,31.01,19.23,0
Argentina,1982,27.98,15.29,31.14,18.48,3.4351
Argentina,1983,29.21,14.68,31.26,19.97,4.799
Argentina,1984,27.13,16.45,29.73,20.37,5.3547
Argentina,1985,25.63,15.89,26.02,20.66,5.7083
Argentina,1986,34.42,14.23,28.39,20.05,0.3031
Argentina,1987,34.11,17.12,29.03,21.55,4.799
Argentina,1988,41.88,15.47,27.39,22.46,3.5867
Argentina,1989,40.8,15.99,27.41,21.03,5.3547
Argentina,1990,34.09,15.77,28.16,21.85,4.698
Argentina,1991,38.06,15.73,29.67,21.95,4.5277
Argentina,1992,37.57,15.97,31.8,22.07,3.9937
Argentina,1993,34.01,16.11,35.39,22.81,4.1789
Argentina,1994,32.32,23.2,36.78,23.9,4.0884
Argentina,1995,34.02,23.34,37.93,24.54,3.9973
Argentina,1996,37.61,25.3,39.07,25.09,6.2869
Argentina,1997,37.29,30.62,40.21,24.57,3.525
Argentina,1998,39.35,31.53,42.08,24.6,2.2713
Argentina,1999,44.32,30.27,40.71,26.12,1.6353
Argentina,2000,44.92,30.26,39.87,26.8,1.1266
Argentina,2001,38.95,30.97,36.22,25.52,1.1629
Argentina,2002,36.62,29.43,33.75,24.56,1.5445
Argentina,2003,40.38,32.31,34.65,26.77,1.9987
Argentina,2004,46.69,36,37.54,29.31,1.5808
Argentina,2005,47.37,34.95,39.27,31.01,1.2356
Argentina,2006,50.17,38.06,41.41,32.57,1.2537
Argentina,2007,55.82,37.8,42.08,32.92,1.5445
Argentina,2008,60.68,36.98,44.69,37.09,1.5626
Argentina,2009,60.95,34.5,40.19,36.2,1.6171
Argentina,2010,61.97,35.15,43,36.21,1.5808
Argentina,2011,66.38,35.06,48.79,33.47,1.5445
Argentina,2012,71.04,33.91,48.32,35.23,1.708
