Country,Year,Electricity/Heat (CO2) (MtCO2),Manufacturing/Construction (CO2) (MtCO2),Transportation (CO2) (MtCO2),Other Fuel Combustion (CO2) (MtCO2),Fugitive Emissions (CO2) (MtCO2)
Bolivia,1971,0.39,0.45,0.97,0.37,
Bolivia,1972,0.4,0.54,1.05,0.4,
Bolivia,1973,0.45,0.5,1.13,0.45,
Bolivia,1974,0.45,0.54,1.24,0.5,
Bolivia,1975,0.51,0.67,1.49,0.54,
Bolivia,1976,0.54,0.76,1.65,0.58,
Bolivia,1977,0.63,0.61,1.9,0.61,
Bolivia,1978,0.69,0.59,2.13,0.64,
Bolivia,1979,0.81,0.47,2.14,0.63,
Bolivia,1980,1,0.43,2.09,0.67,0.3216
Bolivia,1981,1.25,0.56,2,0.72,0
Bolivia,1982,1.39,1.08,1.64,0.72,0
Bolivia,1983,1.07,1.28,1.74,0.79,0.3447
Bolivia,1984,1.17,0.9,1.7,0.78,0.2462
Bolivia,1985,1.09,0.7,1.72,0.78,0.1969
Bolivia,1986,1.18,0.55,1.72,0.69,0.1969
Bolivia,1987,1.28,0.39,1.96,0.71,0.2954
Bolivia,1988,1.18,0.44,1.98,0.66,0.1969
Bolivia,1989,1.35,0.61,2.11,0.67,0.1969
Bolivia,1990,1.54,0.78,2.2,0.63,0.1969
Bolivia,1991,1.47,0.73,2.32,0.66,0.1969
Bolivia,1992,1.68,0.74,2.29,0.71,1.0652
Bolivia,1993,1.59,0.73,2.65,0.66,1.7563
Bolivia,1994,1.83,0.81,2.75,0.71,2.4342
Bolivia,1995,2.17,0.89,3.06,0.77,0.9008
Bolivia,1996,1.78,0.7,3.17,0.82,0.8722
Bolivia,1997,1.78,0.77,2.99,0.95,0.8722
Bolivia,1998,2.02,0.85,3.09,0.97,0.8722
Bolivia,1999,1.61,0.87,3.1,0.97,0.6541
Bolivia,2000,1.9,0.91,2.91,1.42,0.4724
Bolivia,2001,1.68,0.87,2.84,1.45,0.3271
Bolivia,2002,1.96,0.94,2.89,1.53,0.4543
Bolivia,2003,2.28,0.97,3.08,1.63,0.5633
Bolivia,2004,2.33,1.04,3.36,1.99,0.3271
Bolivia,2005,2.85,1.08,3.51,1.99,0.3452
Bolivia,2006,2.95,1.19,3.9,2.22,0.2726
Bolivia,2007,3.25,1.29,4.38,2.27,0.2544
Bolivia,2008,3.46,1.32,4.89,2.47,0.2853
Bolivia,2009,3.69,1.54,5.11,2.4,0.2471
Bolivia,2010,4.14,1.55,5.36,3.01,0.2544
Bolivia,2011,4.41,1.73,5.89,3.22,0.3816
Bolivia,2012,4.66,1.84,6.27,3.55,0.4179
