Country,Year,Electricity/Heat (CO2) (MtCO2),Manufacturing/Construction (CO2) (MtCO2),Transportation (CO2) (MtCO2),Other Fuel Combustion (CO2) (MtCO2),Fugitive Emissions (CO2) (MtCO2)
Germany,1971,375.86,252.21,99.24,251.32,
Germany,1972,388.89,254.66,103.23,256.46,
Germany,1973,403.71,272.57,106.17,270.67,
Germany,1974,409.39,270.65,101.76,246.74,
Germany,1975,381.82,246.87,105.42,241.39,
Germany,1976,417.86,247.23,106.98,260.17,
Germany,1977,408.83,240.12,112.86,255.36,
Germany,1978,424.98,245.61,121.94,263.32,
Germany,1979,445.7,254.75,125.61,277.59,
Germany,1980,443.2,233.87,127.99,250.55,
Germany,1981,436.79,225.27,123.89,236.31,
Germany,1982,427.2,207.07,124.16,223.9,
Germany,1983,425.61,215.01,126.22,217.09,
Germany,1984,428.81,216.47,129.86,230.99,
Germany,1985,418.08,219.29,129.92,247.32,
Germany,1986,419.87,203.57,135.97,256.93,
Germany,1987,413.18,202.82,140.92,250.29,
Germany,1988,415.5,206.67,145.82,233.23,
Germany,1989,419.21,205.7,149.27,202.64,
Germany,1990,402.63,179.26,157.59,210.18,
Germany,1991,399.98,153.93,160.28,210.63,1.0113
Germany,1992,383.75,145.92,162.79,194.07,0.7035
Germany,1993,375.97,137.48,167.36,199.06,0.6521
Germany,1994,376.24,139.31,164.81,188.14,1.3414
Germany,1995,370.37,140.07,166.68,190.7,0.9571
Germany,1996,381.12,132.3,167.78,215.32,0.8699
Germany,1997,365.48,131.08,168.43,200.81,0.6987
Germany,1998,365.47,129.9,171.33,192.24,0.6349
Germany,1999,351.4,124.34,176.11,175,2.6502
Germany,2000,356.29,126.26,171.89,170.6,2.5179
Germany,2001,368.4,120.29,167.96,186.65,2.4961
Germany,2002,370.17,120.31,165.55,174.71,2.4604
Germany,2003,378.21,118.27,162.47,172.4,2.3374
Germany,2004,373.77,116.71,162.37,162.74,2.1429
Germany,2005,370.26,115.72,154.22,159.41,2.1662
Germany,2006,374.62,117.37,152.13,167.62,2.16
Germany,2007,386.48,116.69,147.16,128.99,2.0655
Germany,2008,366.99,118.63,147.78,152.8,1.9801
Germany,2009,338.63,104,145.82,141.97,1.9218
Germany,2010,356.44,115.9,146.91,150.64,1.6684
Germany,2011,348.87,114.78,148.64,129.94,1.7563
Germany,2012,359.05,111.71,147.22,137.29,1.7563
