Country,Year,Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2)
Argentina,1850,
Argentina,1851,
Argentina,1852,
Argentina,1853,
Argentina,1854,
Argentina,1855,
Argentina,1856,
Argentina,1857,
Argentina,1858,
Argentina,1859,
Argentina,1860,
Argentina,1861,
Argentina,1862,
Argentina,1863,
Argentina,1864,
Argentina,1865,
Argentina,1866,
Argentina,1867,
Argentina,1868,
Argentina,1869,
Argentina,1870,
Argentina,1871,
Argentina,1872,
Argentina,1873,
Argentina,1874,
Argentina,1875,
Argentina,1876,
Argentina,1877,
Argentina,1878,
Argentina,1879,
Argentina,1880,
Argentina,1881,
Argentina,1882,
Argentina,1883,
Argentina,1884,
Argentina,1885,
Argentina,1886,
Argentina,1887,1.0845
Argentina,1888,0.8904
Argentina,1889,1.7551
Argentina,1890,1.3703
Argentina,1891,0.938
Argentina,1892,1.385
Argentina,1893,1.5535
Argentina,1894,1.9932
Argentina,1895,2.2644
Argentina,1896,2.3047
Argentina,1897,2.0812
Argentina,1898,2.3486
Argentina,1899,2.9202
Argentina,1900,2.0702
Argentina,1901,2.4915
Argentina,1902,2.814
Argentina,1903,2.8616
Argentina,1904,3.7959
Argentina,1905,3.9828
Argentina,1906,6.2544
Argentina,1907,6.2544
Argentina,1908,7.6175
Argentina,1909,5.9393
Argentina,1910,8.9108
Argentina,1911,9.9441
Argentina,1912,9.4788
Argentina,1913,10.142
Argentina,1914,8.669
Argentina,1915,6.936
Argentina,1916,4.983
Argentina,1917,2.2314
Argentina,1918,2.5208
Argentina,1919,3.7263
Argentina,1920,5.8917
Argentina,1921,5.54
Argentina,1922,7.3024
Argentina,1923,8.4419
Argentina,1924,10.959
Argentina,1925,11.2375
Argentina,1926,11.2558
Argentina,1927,13.3699
Argentina,1928,12.7397
Argentina,1929,13.1318
Argentina,1930,12.769
Argentina,1931,12.846
Argentina,1932,13.1025
Argentina,1933,13.2307
Argentina,1934,14.242
Argentina,1935,13.9965
Argentina,1936,15.0993
Argentina,1937,16.7188
Argentina,1938,16.3488
Argentina,1939,17.382
Argentina,1940,15.8651
Argentina,1941,13.9452
Argentina,1942,13.4799
Argentina,1943,14.0844
Argentina,1944,13.9562
Argentina,1945,13.6704
Argentina,1946,13.707
Argentina,1947,14.5168
Argentina,1948,17.3967
Argentina,1949,15.3705
Argentina,1950,29.9276
Argentina,1951,34.9692
Argentina,1952,36.1014
Argentina,1953,35.1414
Argentina,1954,36.7609
Argentina,1955,39.5675
Argentina,1956,44.3051
Argentina,1957,47.6173
Argentina,1958,44.2025
Argentina,1959,48.9584
Argentina,1960,48.7752
Argentina,1961,51.1384
Argentina,1962,53.652
Argentina,1963,50.0429
Argentina,1964,55.6855
Argentina,1965,58.8182
Argentina,1966,60.7418
Argentina,1967,62.6874
Argentina,1968,66.1499
Argentina,1969,74.4342
Argentina,1970,79.8569
Argentina,1971,85.5353
Argentina,1972,86.455
Argentina,1973,90.1031
Argentina,1974,90.2857
Argentina,1975,88.2324
Argentina,1976,92.4069
Argentina,1977,96.2298
Argentina,1978,95.6974
Argentina,1979,101.0632
Argentina,1980,99.1741
Argentina,1981,97.6723
Argentina,1982,99.1181
Argentina,1983,102.722
Argentina,1984,101.6362
Argentina,1985,96.2166
Argentina,1986,100.1694
Argentina,1987,109.7591
Argentina,1988,113.8021
Argentina,1989,112.8124
Argentina,1990,106.357
Argentina,1991,111.6405
Argentina,1992,113.9208
Argentina,1993,115.3229
Argentina,1994,123.4174
Argentina,1995,126.5423
Argentina,1996,135.907
Argentina,1997,139.6335
Argentina,1998,143.3634
Argentina,1999,146.645
Argentina,2000,146.025
Argentina,2001,135.5755
Argentina,2002,127.8437
Argentina,2003,138.7102
Argentina,2004,154.2489
Argentina,2005,157.6305
Argentina,2006,167.9118
Argentina,2007,174.9396
Argentina,2008,185.8391
Argentina,2009,178.1424
Argentina,2010,183.1064
Argentina,2011,191.0226
Argentina,2012,195.7599
