"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,16.72,WRI_CAIT_EESS_CO2_Argentina_Construction
1972,1972,15,WRI_CAIT_EESS_CO2_Argentina_Construction
1973,1973,15.94,WRI_CAIT_EESS_CO2_Argentina_Construction
1974,1974,17.28,WRI_CAIT_EESS_CO2_Argentina_Construction
1975,1975,16.22,WRI_CAIT_EESS_CO2_Argentina_Construction
1976,1976,17.61,WRI_CAIT_EESS_CO2_Argentina_Construction
1977,1977,15.6,WRI_CAIT_EESS_CO2_Argentina_Construction
1978,1978,16.84,WRI_CAIT_EESS_CO2_Argentina_Construction
1979,1979,17,WRI_CAIT_EESS_CO2_Argentina_Construction
1980,1980,16.15,WRI_CAIT_EESS_CO2_Argentina_Construction
1981,1981,14.98,WRI_CAIT_EESS_CO2_Argentina_Construction
1982,1982,15.29,WRI_CAIT_EESS_CO2_Argentina_Construction
1983,1983,14.68,WRI_CAIT_EESS_CO2_Argentina_Construction
1984,1984,16.45,WRI_CAIT_EESS_CO2_Argentina_Construction
1985,1985,15.89,WRI_CAIT_EESS_CO2_Argentina_Construction
1986,1986,14.23,WRI_CAIT_EESS_CO2_Argentina_Construction
1987,1987,17.12,WRI_CAIT_EESS_CO2_Argentina_Construction
1988,1988,15.47,WRI_CAIT_EESS_CO2_Argentina_Construction
1989,1989,15.99,WRI_CAIT_EESS_CO2_Argentina_Construction
1990,1990,15.77,WRI_CAIT_EESS_CO2_Argentina_Construction
1991,1991,15.73,WRI_CAIT_EESS_CO2_Argentina_Construction
1992,1992,15.97,WRI_CAIT_EESS_CO2_Argentina_Construction
1993,1993,16.11,WRI_CAIT_EESS_CO2_Argentina_Construction
1994,1994,23.2,WRI_CAIT_EESS_CO2_Argentina_Construction
1995,1995,23.34,WRI_CAIT_EESS_CO2_Argentina_Construction
1996,1996,25.3,WRI_CAIT_EESS_CO2_Argentina_Construction
1997,1997,30.62,WRI_CAIT_EESS_CO2_Argentina_Construction
1998,1998,31.53,WRI_CAIT_EESS_CO2_Argentina_Construction
1999,1999,30.27,WRI_CAIT_EESS_CO2_Argentina_Construction
2000,2000,30.26,WRI_CAIT_EESS_CO2_Argentina_Construction
2001,2001,30.97,WRI_CAIT_EESS_CO2_Argentina_Construction
2002,2002,29.43,WRI_CAIT_EESS_CO2_Argentina_Construction
2003,2003,32.31,WRI_CAIT_EESS_CO2_Argentina_Construction
2004,2004,36,WRI_CAIT_EESS_CO2_Argentina_Construction
2005,2005,34.95,WRI_CAIT_EESS_CO2_Argentina_Construction
2006,2006,38.06,WRI_CAIT_EESS_CO2_Argentina_Construction
2007,2007,37.8,WRI_CAIT_EESS_CO2_Argentina_Construction
2008,2008,36.98,WRI_CAIT_EESS_CO2_Argentina_Construction
2009,2009,34.5,WRI_CAIT_EESS_CO2_Argentina_Construction
2010,2010,35.15,WRI_CAIT_EESS_CO2_Argentina_Construction
2011,2011,35.06,WRI_CAIT_EESS_CO2_Argentina_Construction
2012,2012,33.91,WRI_CAIT_EESS_CO2_Argentina_Construction
