"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,29.1,WRI_CAIT_EESS_CO2_Argentina_Electricity
1972,1972,30.8,WRI_CAIT_EESS_CO2_Argentina_Electricity
1973,1973,30.69,WRI_CAIT_EESS_CO2_Argentina_Electricity
1974,1974,28.66,WRI_CAIT_EESS_CO2_Argentina_Electricity
1975,1975,28.14,WRI_CAIT_EESS_CO2_Argentina_Electricity
1976,1976,29.53,WRI_CAIT_EESS_CO2_Argentina_Electricity
1977,1977,32.25,WRI_CAIT_EESS_CO2_Argentina_Electricity
1978,1978,29.95,WRI_CAIT_EESS_CO2_Argentina_Electricity
1979,1979,32.13,WRI_CAIT_EESS_CO2_Argentina_Electricity
1980,1980,30.31,WRI_CAIT_EESS_CO2_Argentina_Electricity
1981,1981,29.13,WRI_CAIT_EESS_CO2_Argentina_Electricity
1982,1982,27.98,WRI_CAIT_EESS_CO2_Argentina_Electricity
1983,1983,29.21,WRI_CAIT_EESS_CO2_Argentina_Electricity
1984,1984,27.13,WRI_CAIT_EESS_CO2_Argentina_Electricity
1985,1985,25.63,WRI_CAIT_EESS_CO2_Argentina_Electricity
1986,1986,34.42,WRI_CAIT_EESS_CO2_Argentina_Electricity
1987,1987,34.11,WRI_CAIT_EESS_CO2_Argentina_Electricity
1988,1988,41.88,WRI_CAIT_EESS_CO2_Argentina_Electricity
1989,1989,40.8,WRI_CAIT_EESS_CO2_Argentina_Electricity
1990,1990,34.09,WRI_CAIT_EESS_CO2_Argentina_Electricity
1991,1991,38.06,WRI_CAIT_EESS_CO2_Argentina_Electricity
1992,1992,37.57,WRI_CAIT_EESS_CO2_Argentina_Electricity
1993,1993,34.01,WRI_CAIT_EESS_CO2_Argentina_Electricity
1994,1994,32.32,WRI_CAIT_EESS_CO2_Argentina_Electricity
1995,1995,34.02,WRI_CAIT_EESS_CO2_Argentina_Electricity
1996,1996,37.61,WRI_CAIT_EESS_CO2_Argentina_Electricity
1997,1997,37.29,WRI_CAIT_EESS_CO2_Argentina_Electricity
1998,1998,39.35,WRI_CAIT_EESS_CO2_Argentina_Electricity
1999,1999,44.32,WRI_CAIT_EESS_CO2_Argentina_Electricity
2000,2000,44.92,WRI_CAIT_EESS_CO2_Argentina_Electricity
2001,2001,38.95,WRI_CAIT_EESS_CO2_Argentina_Electricity
2002,2002,36.62,WRI_CAIT_EESS_CO2_Argentina_Electricity
2003,2003,40.38,WRI_CAIT_EESS_CO2_Argentina_Electricity
2004,2004,46.69,WRI_CAIT_EESS_CO2_Argentina_Electricity
2005,2005,47.37,WRI_CAIT_EESS_CO2_Argentina_Electricity
2006,2006,50.17,WRI_CAIT_EESS_CO2_Argentina_Electricity
2007,2007,55.82,WRI_CAIT_EESS_CO2_Argentina_Electricity
2008,2008,60.68,WRI_CAIT_EESS_CO2_Argentina_Electricity
2009,2009,60.95,WRI_CAIT_EESS_CO2_Argentina_Electricity
2010,2010,61.97,WRI_CAIT_EESS_CO2_Argentina_Electricity
2011,2011,66.38,WRI_CAIT_EESS_CO2_Argentina_Electricity
2012,2012,71.04,WRI_CAIT_EESS_CO2_Argentina_Electricity
