"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,13.07,WRI_CAIT_EESS_CO2_Argentina_Other
1972,1972,12.41,WRI_CAIT_EESS_CO2_Argentina_Other
1973,1973,14.89,WRI_CAIT_EESS_CO2_Argentina_Other
1974,1974,15.34,WRI_CAIT_EESS_CO2_Argentina_Other
1975,1975,16.07,WRI_CAIT_EESS_CO2_Argentina_Other
1976,1976,17.41,WRI_CAIT_EESS_CO2_Argentina_Other
1977,1977,18.43,WRI_CAIT_EESS_CO2_Argentina_Other
1978,1978,18.11,WRI_CAIT_EESS_CO2_Argentina_Other
1979,1979,18.63,WRI_CAIT_EESS_CO2_Argentina_Other
1980,1980,18.24,WRI_CAIT_EESS_CO2_Argentina_Other
1981,1981,19.23,WRI_CAIT_EESS_CO2_Argentina_Other
1982,1982,18.48,WRI_CAIT_EESS_CO2_Argentina_Other
1983,1983,19.97,WRI_CAIT_EESS_CO2_Argentina_Other
1984,1984,20.37,WRI_CAIT_EESS_CO2_Argentina_Other
1985,1985,20.66,WRI_CAIT_EESS_CO2_Argentina_Other
1986,1986,20.05,WRI_CAIT_EESS_CO2_Argentina_Other
1987,1987,21.55,WRI_CAIT_EESS_CO2_Argentina_Other
1988,1988,22.46,WRI_CAIT_EESS_CO2_Argentina_Other
1989,1989,21.03,WRI_CAIT_EESS_CO2_Argentina_Other
1990,1990,21.85,WRI_CAIT_EESS_CO2_Argentina_Other
1991,1991,21.95,WRI_CAIT_EESS_CO2_Argentina_Other
1992,1992,22.07,WRI_CAIT_EESS_CO2_Argentina_Other
1993,1993,22.81,WRI_CAIT_EESS_CO2_Argentina_Other
1994,1994,23.9,WRI_CAIT_EESS_CO2_Argentina_Other
1995,1995,24.54,WRI_CAIT_EESS_CO2_Argentina_Other
1996,1996,25.09,WRI_CAIT_EESS_CO2_Argentina_Other
1997,1997,24.57,WRI_CAIT_EESS_CO2_Argentina_Other
1998,1998,24.6,WRI_CAIT_EESS_CO2_Argentina_Other
1999,1999,26.12,WRI_CAIT_EESS_CO2_Argentina_Other
2000,2000,26.8,WRI_CAIT_EESS_CO2_Argentina_Other
2001,2001,25.52,WRI_CAIT_EESS_CO2_Argentina_Other
2002,2002,24.56,WRI_CAIT_EESS_CO2_Argentina_Other
2003,2003,26.77,WRI_CAIT_EESS_CO2_Argentina_Other
2004,2004,29.31,WRI_CAIT_EESS_CO2_Argentina_Other
2005,2005,31.01,WRI_CAIT_EESS_CO2_Argentina_Other
2006,2006,32.57,WRI_CAIT_EESS_CO2_Argentina_Other
2007,2007,32.92,WRI_CAIT_EESS_CO2_Argentina_Other
2008,2008,37.09,WRI_CAIT_EESS_CO2_Argentina_Other
2009,2009,36.2,WRI_CAIT_EESS_CO2_Argentina_Other
2010,2010,36.21,WRI_CAIT_EESS_CO2_Argentina_Other
2011,2011,33.47,WRI_CAIT_EESS_CO2_Argentina_Other
2012,2012,35.23,WRI_CAIT_EESS_CO2_Argentina_Other
