"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,0.45,WRI_CAIT_EESS_CO2_Bolivia_Construction
1972,1972,0.54,WRI_CAIT_EESS_CO2_Bolivia_Construction
1973,1973,0.5,WRI_CAIT_EESS_CO2_Bolivia_Construction
1974,1974,0.54,WRI_CAIT_EESS_CO2_Bolivia_Construction
1975,1975,0.67,WRI_CAIT_EESS_CO2_Bolivia_Construction
1976,1976,0.76,WRI_CAIT_EESS_CO2_Bolivia_Construction
1977,1977,0.61,WRI_CAIT_EESS_CO2_Bolivia_Construction
1978,1978,0.59,WRI_CAIT_EESS_CO2_Bolivia_Construction
1979,1979,0.47,WRI_CAIT_EESS_CO2_Bolivia_Construction
1980,1980,0.43,WRI_CAIT_EESS_CO2_Bolivia_Construction
1981,1981,0.56,WRI_CAIT_EESS_CO2_Bolivia_Construction
1982,1982,1.08,WRI_CAIT_EESS_CO2_Bolivia_Construction
1983,1983,1.28,WRI_CAIT_EESS_CO2_Bolivia_Construction
1984,1984,0.9,WRI_CAIT_EESS_CO2_Bolivia_Construction
1985,1985,0.7,WRI_CAIT_EESS_CO2_Bolivia_Construction
1986,1986,0.55,WRI_CAIT_EESS_CO2_Bolivia_Construction
1987,1987,0.39,WRI_CAIT_EESS_CO2_Bolivia_Construction
1988,1988,0.44,WRI_CAIT_EESS_CO2_Bolivia_Construction
1989,1989,0.61,WRI_CAIT_EESS_CO2_Bolivia_Construction
1990,1990,0.78,WRI_CAIT_EESS_CO2_Bolivia_Construction
1991,1991,0.73,WRI_CAIT_EESS_CO2_Bolivia_Construction
1992,1992,0.74,WRI_CAIT_EESS_CO2_Bolivia_Construction
1993,1993,0.73,WRI_CAIT_EESS_CO2_Bolivia_Construction
1994,1994,0.81,WRI_CAIT_EESS_CO2_Bolivia_Construction
1995,1995,0.89,WRI_CAIT_EESS_CO2_Bolivia_Construction
1996,1996,0.7,WRI_CAIT_EESS_CO2_Bolivia_Construction
1997,1997,0.77,WRI_CAIT_EESS_CO2_Bolivia_Construction
1998,1998,0.85,WRI_CAIT_EESS_CO2_Bolivia_Construction
1999,1999,0.87,WRI_CAIT_EESS_CO2_Bolivia_Construction
2000,2000,0.91,WRI_CAIT_EESS_CO2_Bolivia_Construction
2001,2001,0.87,WRI_CAIT_EESS_CO2_Bolivia_Construction
2002,2002,0.94,WRI_CAIT_EESS_CO2_Bolivia_Construction
2003,2003,0.97,WRI_CAIT_EESS_CO2_Bolivia_Construction
2004,2004,1.04,WRI_CAIT_EESS_CO2_Bolivia_Construction
2005,2005,1.08,WRI_CAIT_EESS_CO2_Bolivia_Construction
2006,2006,1.19,WRI_CAIT_EESS_CO2_Bolivia_Construction
2007,2007,1.29,WRI_CAIT_EESS_CO2_Bolivia_Construction
2008,2008,1.32,WRI_CAIT_EESS_CO2_Bolivia_Construction
2009,2009,1.54,WRI_CAIT_EESS_CO2_Bolivia_Construction
2010,2010,1.55,WRI_CAIT_EESS_CO2_Bolivia_Construction
2011,2011,1.73,WRI_CAIT_EESS_CO2_Bolivia_Construction
2012,2012,1.84,WRI_CAIT_EESS_CO2_Bolivia_Construction
