"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,0.39,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1972,1972,0.4,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1973,1973,0.45,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1974,1974,0.45,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1975,1975,0.51,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1976,1976,0.54,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1977,1977,0.63,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1978,1978,0.69,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1979,1979,0.81,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1980,1980,1,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1981,1981,1.25,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1982,1982,1.39,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1983,1983,1.07,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1984,1984,1.17,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1985,1985,1.09,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1986,1986,1.18,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1987,1987,1.28,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1988,1988,1.18,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1989,1989,1.35,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1990,1990,1.54,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1991,1991,1.47,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1992,1992,1.68,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1993,1993,1.59,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1994,1994,1.83,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1995,1995,2.17,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1996,1996,1.78,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1997,1997,1.78,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1998,1998,2.02,WRI_CAIT_EESS_CO2_Bolivia_Electricity
1999,1999,1.61,WRI_CAIT_EESS_CO2_Bolivia_Electricity
2000,2000,1.9,WRI_CAIT_EESS_CO2_Bolivia_Electricity
2001,2001,1.68,WRI_CAIT_EESS_CO2_Bolivia_Electricity
2002,2002,1.96,WRI_CAIT_EESS_CO2_Bolivia_Electricity
2003,2003,2.28,WRI_CAIT_EESS_CO2_Bolivia_Electricity
2004,2004,2.33,WRI_CAIT_EESS_CO2_Bolivia_Electricity
2005,2005,2.85,WRI_CAIT_EESS_CO2_Bolivia_Electricity
2006,2006,2.95,WRI_CAIT_EESS_CO2_Bolivia_Electricity
2007,2007,3.25,WRI_CAIT_EESS_CO2_Bolivia_Electricity
2008,2008,3.46,WRI_CAIT_EESS_CO2_Bolivia_Electricity
2009,2009,3.69,WRI_CAIT_EESS_CO2_Bolivia_Electricity
2010,2010,4.14,WRI_CAIT_EESS_CO2_Bolivia_Electricity
2011,2011,4.41,WRI_CAIT_EESS_CO2_Bolivia_Electricity
2012,2012,4.66,WRI_CAIT_EESS_CO2_Bolivia_Electricity
