"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,0.37,WRI_CAIT_EESS_CO2_Bolivia_Other
1972,1972,0.4,WRI_CAIT_EESS_CO2_Bolivia_Other
1973,1973,0.45,WRI_CAIT_EESS_CO2_Bolivia_Other
1974,1974,0.5,WRI_CAIT_EESS_CO2_Bolivia_Other
1975,1975,0.54,WRI_CAIT_EESS_CO2_Bolivia_Other
1976,1976,0.58,WRI_CAIT_EESS_CO2_Bolivia_Other
1977,1977,0.61,WRI_CAIT_EESS_CO2_Bolivia_Other
1978,1978,0.64,WRI_CAIT_EESS_CO2_Bolivia_Other
1979,1979,0.63,WRI_CAIT_EESS_CO2_Bolivia_Other
1980,1980,0.67,WRI_CAIT_EESS_CO2_Bolivia_Other
1981,1981,0.72,WRI_CAIT_EESS_CO2_Bolivia_Other
1982,1982,0.72,WRI_CAIT_EESS_CO2_Bolivia_Other
1983,1983,0.79,WRI_CAIT_EESS_CO2_Bolivia_Other
1984,1984,0.78,WRI_CAIT_EESS_CO2_Bolivia_Other
1985,1985,0.78,WRI_CAIT_EESS_CO2_Bolivia_Other
1986,1986,0.69,WRI_CAIT_EESS_CO2_Bolivia_Other
1987,1987,0.71,WRI_CAIT_EESS_CO2_Bolivia_Other
1988,1988,0.66,WRI_CAIT_EESS_CO2_Bolivia_Other
1989,1989,0.67,WRI_CAIT_EESS_CO2_Bolivia_Other
1990,1990,0.63,WRI_CAIT_EESS_CO2_Bolivia_Other
1991,1991,0.66,WRI_CAIT_EESS_CO2_Bolivia_Other
1992,1992,0.71,WRI_CAIT_EESS_CO2_Bolivia_Other
1993,1993,0.66,WRI_CAIT_EESS_CO2_Bolivia_Other
1994,1994,0.71,WRI_CAIT_EESS_CO2_Bolivia_Other
1995,1995,0.77,WRI_CAIT_EESS_CO2_Bolivia_Other
1996,1996,0.82,WRI_CAIT_EESS_CO2_Bolivia_Other
1997,1997,0.95,WRI_CAIT_EESS_CO2_Bolivia_Other
1998,1998,0.97,WRI_CAIT_EESS_CO2_Bolivia_Other
1999,1999,0.97,WRI_CAIT_EESS_CO2_Bolivia_Other
2000,2000,1.42,WRI_CAIT_EESS_CO2_Bolivia_Other
2001,2001,1.45,WRI_CAIT_EESS_CO2_Bolivia_Other
2002,2002,1.53,WRI_CAIT_EESS_CO2_Bolivia_Other
2003,2003,1.63,WRI_CAIT_EESS_CO2_Bolivia_Other
2004,2004,1.99,WRI_CAIT_EESS_CO2_Bolivia_Other
2005,2005,1.99,WRI_CAIT_EESS_CO2_Bolivia_Other
2006,2006,2.22,WRI_CAIT_EESS_CO2_Bolivia_Other
2007,2007,2.27,WRI_CAIT_EESS_CO2_Bolivia_Other
2008,2008,2.47,WRI_CAIT_EESS_CO2_Bolivia_Other
2009,2009,2.4,WRI_CAIT_EESS_CO2_Bolivia_Other
2010,2010,3.01,WRI_CAIT_EESS_CO2_Bolivia_Other
2011,2011,3.22,WRI_CAIT_EESS_CO2_Bolivia_Other
2012,2012,3.55,WRI_CAIT_EESS_CO2_Bolivia_Other
