"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,0.97,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1972,1972,1.05,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1973,1973,1.13,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1974,1974,1.24,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1975,1975,1.49,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1976,1976,1.65,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1977,1977,1.9,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1978,1978,2.13,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1979,1979,2.14,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1980,1980,2.09,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1981,1981,2,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1982,1982,1.64,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1983,1983,1.74,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1984,1984,1.7,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1985,1985,1.72,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1986,1986,1.72,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1987,1987,1.96,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1988,1988,1.98,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1989,1989,2.11,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1990,1990,2.2,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1991,1991,2.32,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1992,1992,2.29,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1993,1993,2.65,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1994,1994,2.75,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1995,1995,3.06,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1996,1996,3.17,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1997,1997,2.99,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1998,1998,3.09,WRI_CAIT_EESS_CO2_Bolivia_Transportation
1999,1999,3.1,WRI_CAIT_EESS_CO2_Bolivia_Transportation
2000,2000,2.91,WRI_CAIT_EESS_CO2_Bolivia_Transportation
2001,2001,2.84,WRI_CAIT_EESS_CO2_Bolivia_Transportation
2002,2002,2.89,WRI_CAIT_EESS_CO2_Bolivia_Transportation
2003,2003,3.08,WRI_CAIT_EESS_CO2_Bolivia_Transportation
2004,2004,3.36,WRI_CAIT_EESS_CO2_Bolivia_Transportation
2005,2005,3.51,WRI_CAIT_EESS_CO2_Bolivia_Transportation
2006,2006,3.9,WRI_CAIT_EESS_CO2_Bolivia_Transportation
2007,2007,4.38,WRI_CAIT_EESS_CO2_Bolivia_Transportation
2008,2008,4.89,WRI_CAIT_EESS_CO2_Bolivia_Transportation
2009,2009,5.11,WRI_CAIT_EESS_CO2_Bolivia_Transportation
2010,2010,5.36,WRI_CAIT_EESS_CO2_Bolivia_Transportation
2011,2011,5.89,WRI_CAIT_EESS_CO2_Bolivia_Transportation
2012,2012,6.27,WRI_CAIT_EESS_CO2_Bolivia_Transportation
