"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,27.83,WRI_CAIT_EESS_CO2_Brazil_Construction
1972,1972,30.41,WRI_CAIT_EESS_CO2_Brazil_Construction
1973,1973,35.85,WRI_CAIT_EESS_CO2_Brazil_Construction
1974,1974,41.33,WRI_CAIT_EESS_CO2_Brazil_Construction
1975,1975,44.18,WRI_CAIT_EESS_CO2_Brazil_Construction
1976,1976,51.07,WRI_CAIT_EESS_CO2_Brazil_Construction
1977,1977,55.67,WRI_CAIT_EESS_CO2_Brazil_Construction
1978,1978,61.82,WRI_CAIT_EESS_CO2_Brazil_Construction
1979,1979,68.27,WRI_CAIT_EESS_CO2_Brazil_Construction
1980,1980,67.24,WRI_CAIT_EESS_CO2_Brazil_Construction
1981,1981,53.98,WRI_CAIT_EESS_CO2_Brazil_Construction
1982,1982,54.3,WRI_CAIT_EESS_CO2_Brazil_Construction
1983,1983,49.67,WRI_CAIT_EESS_CO2_Brazil_Construction
1984,1984,49.61,WRI_CAIT_EESS_CO2_Brazil_Construction
1985,1985,49.43,WRI_CAIT_EESS_CO2_Brazil_Construction
1986,1986,52.03,WRI_CAIT_EESS_CO2_Brazil_Construction
1987,1987,57.14,WRI_CAIT_EESS_CO2_Brazil_Construction
1988,1988,59.57,WRI_CAIT_EESS_CO2_Brazil_Construction
1989,1989,59.61,WRI_CAIT_EESS_CO2_Brazil_Construction
1990,1990,55.91,WRI_CAIT_EESS_CO2_Brazil_Construction
1991,1991,59.25,WRI_CAIT_EESS_CO2_Brazil_Construction
1992,1992,59.44,WRI_CAIT_EESS_CO2_Brazil_Construction
1993,1993,62.04,WRI_CAIT_EESS_CO2_Brazil_Construction
1994,1994,64.52,WRI_CAIT_EESS_CO2_Brazil_Construction
1995,1995,68.09,WRI_CAIT_EESS_CO2_Brazil_Construction
1996,1996,73.81,WRI_CAIT_EESS_CO2_Brazil_Construction
1997,1997,78.81,WRI_CAIT_EESS_CO2_Brazil_Construction
1998,1998,81.13,WRI_CAIT_EESS_CO2_Brazil_Construction
1999,1999,86.24,WRI_CAIT_EESS_CO2_Brazil_Construction
2000,2000,93.88,WRI_CAIT_EESS_CO2_Brazil_Construction
2001,2001,90.35,WRI_CAIT_EESS_CO2_Brazil_Construction
2002,2002,93.45,WRI_CAIT_EESS_CO2_Brazil_Construction
2003,2003,92.01,WRI_CAIT_EESS_CO2_Brazil_Construction
2004,2004,94.87,WRI_CAIT_EESS_CO2_Brazil_Construction
2005,2005,94.52,WRI_CAIT_EESS_CO2_Brazil_Construction
2006,2006,96.33,WRI_CAIT_EESS_CO2_Brazil_Construction
2007,2007,104.56,WRI_CAIT_EESS_CO2_Brazil_Construction
2008,2008,105.71,WRI_CAIT_EESS_CO2_Brazil_Construction
2009,2009,96.48,WRI_CAIT_EESS_CO2_Brazil_Construction
2010,2010,115.13,WRI_CAIT_EESS_CO2_Brazil_Construction
2011,2011,125.22,WRI_CAIT_EESS_CO2_Brazil_Construction
2012,2012,121.44,WRI_CAIT_EESS_CO2_Brazil_Construction
