"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,6.25,WRI_CAIT_EESS_CO2_Chile_Electricity
1972,1972,5.58,WRI_CAIT_EESS_CO2_Chile_Electricity
1973,1973,5.29,WRI_CAIT_EESS_CO2_Chile_Electricity
1974,1974,5.17,WRI_CAIT_EESS_CO2_Chile_Electricity
1975,1975,4.66,WRI_CAIT_EESS_CO2_Chile_Electricity
1976,1976,5.05,WRI_CAIT_EESS_CO2_Chile_Electricity
1977,1977,5.17,WRI_CAIT_EESS_CO2_Chile_Electricity
1978,1978,5.35,WRI_CAIT_EESS_CO2_Chile_Electricity
1979,1979,6.29,WRI_CAIT_EESS_CO2_Chile_Electricity
1980,1980,6.38,WRI_CAIT_EESS_CO2_Chile_Electricity
1981,1981,6.18,WRI_CAIT_EESS_CO2_Chile_Electricity
1982,1982,5.03,WRI_CAIT_EESS_CO2_Chile_Electricity
1983,1983,5.17,WRI_CAIT_EESS_CO2_Chile_Electricity
1984,1984,5.75,WRI_CAIT_EESS_CO2_Chile_Electricity
1985,1985,5.3,WRI_CAIT_EESS_CO2_Chile_Electricity
1986,1986,5,WRI_CAIT_EESS_CO2_Chile_Electricity
1987,1987,4.98,WRI_CAIT_EESS_CO2_Chile_Electricity
1988,1988,6.78,WRI_CAIT_EESS_CO2_Chile_Electricity
1989,1989,9.64,WRI_CAIT_EESS_CO2_Chile_Electricity
1990,1990,10.5,WRI_CAIT_EESS_CO2_Chile_Electricity
1991,1991,8.27,WRI_CAIT_EESS_CO2_Chile_Electricity
1992,1992,7.04,WRI_CAIT_EESS_CO2_Chile_Electricity
1993,1993,7.14,WRI_CAIT_EESS_CO2_Chile_Electricity
1994,1994,9.16,WRI_CAIT_EESS_CO2_Chile_Electricity
1995,1995,10.05,WRI_CAIT_EESS_CO2_Chile_Electricity
1996,1996,13.86,WRI_CAIT_EESS_CO2_Chile_Electricity
1997,1997,15.64,WRI_CAIT_EESS_CO2_Chile_Electricity
1998,1998,18.57,WRI_CAIT_EESS_CO2_Chile_Electricity
1999,1999,21.11,WRI_CAIT_EESS_CO2_Chile_Electricity
2000,2000,16.45,WRI_CAIT_EESS_CO2_Chile_Electricity
2001,2001,14.63,WRI_CAIT_EESS_CO2_Chile_Electricity
2002,2002,15.74,WRI_CAIT_EESS_CO2_Chile_Electricity
2003,2003,17.18,WRI_CAIT_EESS_CO2_Chile_Electricity
2004,2004,20.86,WRI_CAIT_EESS_CO2_Chile_Electricity
2005,2005,20.86,WRI_CAIT_EESS_CO2_Chile_Electricity
2006,2006,20.88,WRI_CAIT_EESS_CO2_Chile_Electricity
2007,2007,26.18,WRI_CAIT_EESS_CO2_Chile_Electricity
2008,2008,28.72,WRI_CAIT_EESS_CO2_Chile_Electricity
2009,2009,26.81,WRI_CAIT_EESS_CO2_Chile_Electricity
2010,2010,27.15,WRI_CAIT_EESS_CO2_Chile_Electricity
2011,2011,32.06,WRI_CAIT_EESS_CO2_Chile_Electricity
2012,2012,36.46,WRI_CAIT_EESS_CO2_Chile_Electricity
