"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,2.62,WRI_CAIT_EESS_CO2_Chile_Other
1972,1972,2.95,WRI_CAIT_EESS_CO2_Chile_Other
1973,1973,3.1,WRI_CAIT_EESS_CO2_Chile_Other
1974,1974,2.84,WRI_CAIT_EESS_CO2_Chile_Other
1975,1975,2.57,WRI_CAIT_EESS_CO2_Chile_Other
1976,1976,2.67,WRI_CAIT_EESS_CO2_Chile_Other
1977,1977,2.78,WRI_CAIT_EESS_CO2_Chile_Other
1978,1978,2.63,WRI_CAIT_EESS_CO2_Chile_Other
1979,1979,2.55,WRI_CAIT_EESS_CO2_Chile_Other
1980,1980,2.48,WRI_CAIT_EESS_CO2_Chile_Other
1981,1981,2.49,WRI_CAIT_EESS_CO2_Chile_Other
1982,1982,2.48,WRI_CAIT_EESS_CO2_Chile_Other
1983,1983,2.26,WRI_CAIT_EESS_CO2_Chile_Other
1984,1984,2.28,WRI_CAIT_EESS_CO2_Chile_Other
1985,1985,2.21,WRI_CAIT_EESS_CO2_Chile_Other
1986,1986,2.52,WRI_CAIT_EESS_CO2_Chile_Other
1987,1987,2.41,WRI_CAIT_EESS_CO2_Chile_Other
1988,1988,2.63,WRI_CAIT_EESS_CO2_Chile_Other
1989,1989,2.82,WRI_CAIT_EESS_CO2_Chile_Other
1990,1990,3.34,WRI_CAIT_EESS_CO2_Chile_Other
1991,1991,3.77,WRI_CAIT_EESS_CO2_Chile_Other
1992,1992,4.26,WRI_CAIT_EESS_CO2_Chile_Other
1993,1993,4.35,WRI_CAIT_EESS_CO2_Chile_Other
1994,1994,4.57,WRI_CAIT_EESS_CO2_Chile_Other
1995,1995,4.47,WRI_CAIT_EESS_CO2_Chile_Other
1996,1996,4.58,WRI_CAIT_EESS_CO2_Chile_Other
1997,1997,5.15,WRI_CAIT_EESS_CO2_Chile_Other
1998,1998,4.21,WRI_CAIT_EESS_CO2_Chile_Other
1999,1999,4.49,WRI_CAIT_EESS_CO2_Chile_Other
2000,2000,4.72,WRI_CAIT_EESS_CO2_Chile_Other
2001,2001,4.68,WRI_CAIT_EESS_CO2_Chile_Other
2002,2002,4.63,WRI_CAIT_EESS_CO2_Chile_Other
2003,2003,4.25,WRI_CAIT_EESS_CO2_Chile_Other
2004,2004,4.88,WRI_CAIT_EESS_CO2_Chile_Other
2005,2005,4.4,WRI_CAIT_EESS_CO2_Chile_Other
2006,2006,4.38,WRI_CAIT_EESS_CO2_Chile_Other
2007,2007,4.85,WRI_CAIT_EESS_CO2_Chile_Other
2008,2008,4.98,WRI_CAIT_EESS_CO2_Chile_Other
2009,2009,5.2,WRI_CAIT_EESS_CO2_Chile_Other
2010,2010,5.93,WRI_CAIT_EESS_CO2_Chile_Other
2011,2011,6.96,WRI_CAIT_EESS_CO2_Chile_Other
2012,2012,6.2,WRI_CAIT_EESS_CO2_Chile_Other
