"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,252.21,WRI_CAIT_EESS_CO2_Germany_Construction
1972,1972,254.66,WRI_CAIT_EESS_CO2_Germany_Construction
1973,1973,272.57,WRI_CAIT_EESS_CO2_Germany_Construction
1974,1974,270.65,WRI_CAIT_EESS_CO2_Germany_Construction
1975,1975,246.87,WRI_CAIT_EESS_CO2_Germany_Construction
1976,1976,247.23,WRI_CAIT_EESS_CO2_Germany_Construction
1977,1977,240.12,WRI_CAIT_EESS_CO2_Germany_Construction
1978,1978,245.61,WRI_CAIT_EESS_CO2_Germany_Construction
1979,1979,254.75,WRI_CAIT_EESS_CO2_Germany_Construction
1980,1980,233.87,WRI_CAIT_EESS_CO2_Germany_Construction
1981,1981,225.27,WRI_CAIT_EESS_CO2_Germany_Construction
1982,1982,207.07,WRI_CAIT_EESS_CO2_Germany_Construction
1983,1983,215.01,WRI_CAIT_EESS_CO2_Germany_Construction
1984,1984,216.47,WRI_CAIT_EESS_CO2_Germany_Construction
1985,1985,219.29,WRI_CAIT_EESS_CO2_Germany_Construction
1986,1986,203.57,WRI_CAIT_EESS_CO2_Germany_Construction
1987,1987,202.82,WRI_CAIT_EESS_CO2_Germany_Construction
1988,1988,206.67,WRI_CAIT_EESS_CO2_Germany_Construction
1989,1989,205.7,WRI_CAIT_EESS_CO2_Germany_Construction
1990,1990,179.26,WRI_CAIT_EESS_CO2_Germany_Construction
1991,1991,153.93,WRI_CAIT_EESS_CO2_Germany_Construction
1992,1992,145.92,WRI_CAIT_EESS_CO2_Germany_Construction
1993,1993,137.48,WRI_CAIT_EESS_CO2_Germany_Construction
1994,1994,139.31,WRI_CAIT_EESS_CO2_Germany_Construction
1995,1995,140.07,WRI_CAIT_EESS_CO2_Germany_Construction
1996,1996,132.3,WRI_CAIT_EESS_CO2_Germany_Construction
1997,1997,131.08,WRI_CAIT_EESS_CO2_Germany_Construction
1998,1998,129.9,WRI_CAIT_EESS_CO2_Germany_Construction
1999,1999,124.34,WRI_CAIT_EESS_CO2_Germany_Construction
2000,2000,126.26,WRI_CAIT_EESS_CO2_Germany_Construction
2001,2001,120.29,WRI_CAIT_EESS_CO2_Germany_Construction
2002,2002,120.31,WRI_CAIT_EESS_CO2_Germany_Construction
2003,2003,118.27,WRI_CAIT_EESS_CO2_Germany_Construction
2004,2004,116.71,WRI_CAIT_EESS_CO2_Germany_Construction
2005,2005,115.72,WRI_CAIT_EESS_CO2_Germany_Construction
2006,2006,117.37,WRI_CAIT_EESS_CO2_Germany_Construction
2007,2007,116.69,WRI_CAIT_EESS_CO2_Germany_Construction
2008,2008,118.63,WRI_CAIT_EESS_CO2_Germany_Construction
2009,2009,104,WRI_CAIT_EESS_CO2_Germany_Construction
2010,2010,115.9,WRI_CAIT_EESS_CO2_Germany_Construction
2011,2011,114.78,WRI_CAIT_EESS_CO2_Germany_Construction
2012,2012,111.71,WRI_CAIT_EESS_CO2_Germany_Construction
