"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,99.24,WRI_CAIT_EESS_CO2_Germany_Transportation
1972,1972,103.23,WRI_CAIT_EESS_CO2_Germany_Transportation
1973,1973,106.17,WRI_CAIT_EESS_CO2_Germany_Transportation
1974,1974,101.76,WRI_CAIT_EESS_CO2_Germany_Transportation
1975,1975,105.42,WRI_CAIT_EESS_CO2_Germany_Transportation
1976,1976,106.98,WRI_CAIT_EESS_CO2_Germany_Transportation
1977,1977,112.86,WRI_CAIT_EESS_CO2_Germany_Transportation
1978,1978,121.94,WRI_CAIT_EESS_CO2_Germany_Transportation
1979,1979,125.61,WRI_CAIT_EESS_CO2_Germany_Transportation
1980,1980,127.99,WRI_CAIT_EESS_CO2_Germany_Transportation
1981,1981,123.89,WRI_CAIT_EESS_CO2_Germany_Transportation
1982,1982,124.16,WRI_CAIT_EESS_CO2_Germany_Transportation
1983,1983,126.22,WRI_CAIT_EESS_CO2_Germany_Transportation
1984,1984,129.86,WRI_CAIT_EESS_CO2_Germany_Transportation
1985,1985,129.92,WRI_CAIT_EESS_CO2_Germany_Transportation
1986,1986,135.97,WRI_CAIT_EESS_CO2_Germany_Transportation
1987,1987,140.92,WRI_CAIT_EESS_CO2_Germany_Transportation
1988,1988,145.82,WRI_CAIT_EESS_CO2_Germany_Transportation
1989,1989,149.27,WRI_CAIT_EESS_CO2_Germany_Transportation
1990,1990,157.59,WRI_CAIT_EESS_CO2_Germany_Transportation
1991,1991,160.28,WRI_CAIT_EESS_CO2_Germany_Transportation
1992,1992,162.79,WRI_CAIT_EESS_CO2_Germany_Transportation
1993,1993,167.36,WRI_CAIT_EESS_CO2_Germany_Transportation
1994,1994,164.81,WRI_CAIT_EESS_CO2_Germany_Transportation
1995,1995,166.68,WRI_CAIT_EESS_CO2_Germany_Transportation
1996,1996,167.78,WRI_CAIT_EESS_CO2_Germany_Transportation
1997,1997,168.43,WRI_CAIT_EESS_CO2_Germany_Transportation
1998,1998,171.33,WRI_CAIT_EESS_CO2_Germany_Transportation
1999,1999,176.11,WRI_CAIT_EESS_CO2_Germany_Transportation
2000,2000,171.89,WRI_CAIT_EESS_CO2_Germany_Transportation
2001,2001,167.96,WRI_CAIT_EESS_CO2_Germany_Transportation
2002,2002,165.55,WRI_CAIT_EESS_CO2_Germany_Transportation
2003,2003,162.47,WRI_CAIT_EESS_CO2_Germany_Transportation
2004,2004,162.37,WRI_CAIT_EESS_CO2_Germany_Transportation
2005,2005,154.22,WRI_CAIT_EESS_CO2_Germany_Transportation
2006,2006,152.13,WRI_CAIT_EESS_CO2_Germany_Transportation
2007,2007,147.16,WRI_CAIT_EESS_CO2_Germany_Transportation
2008,2008,147.78,WRI_CAIT_EESS_CO2_Germany_Transportation
2009,2009,145.82,WRI_CAIT_EESS_CO2_Germany_Transportation
2010,2010,146.91,WRI_CAIT_EESS_CO2_Germany_Transportation
2011,2011,148.64,WRI_CAIT_EESS_CO2_Germany_Transportation
2012,2012,147.22,WRI_CAIT_EESS_CO2_Germany_Transportation
