"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1850,1850,WRI_CAIT_ETOT_CO2_Brazil
1851,1851,WRI_CAIT_ETOT_CO2_Brazil
1852,1852,WRI_CAIT_ETOT_CO2_Brazil
1853,1853,WRI_CAIT_ETOT_CO2_Brazil
1854,1854,WRI_CAIT_ETOT_CO2_Brazil
1855,1855,WRI_CAIT_ETOT_CO2_Brazil
1856,1856,WRI_CAIT_ETOT_CO2_Brazil
1857,1857,WRI_CAIT_ETOT_CO2_Brazil
1858,1858,WRI_CAIT_ETOT_CO2_Brazil
1859,1859,WRI_CAIT_ETOT_CO2_Brazil
1860,1860,WRI_CAIT_ETOT_CO2_Brazil
1861,1861,WRI_CAIT_ETOT_CO2_Brazil
1862,1862,WRI_CAIT_ETOT_CO2_Brazil
1863,1863,WRI_CAIT_ETOT_CO2_Brazil
1864,1864,WRI_CAIT_ETOT_CO2_Brazil
1865,1865,WRI_CAIT_ETOT_CO2_Brazil
1866,1866,WRI_CAIT_ETOT_CO2_Brazil
1867,1867,WRI_CAIT_ETOT_CO2_Brazil
1868,1868,WRI_CAIT_ETOT_CO2_Brazil
1869,1869,WRI_CAIT_ETOT_CO2_Brazil
1870,1870,WRI_CAIT_ETOT_CO2_Brazil
1871,1871,WRI_CAIT_ETOT_CO2_Brazil
1872,1872,WRI_CAIT_ETOT_CO2_Brazil
1873,1873,WRI_CAIT_ETOT_CO2_Brazil
1874,1874,WRI_CAIT_ETOT_CO2_Brazil
1875,1875,WRI_CAIT_ETOT_CO2_Brazil
1876,1876,WRI_CAIT_ETOT_CO2_Brazil
1877,1877,WRI_CAIT_ETOT_CO2_Brazil
1878,1878,WRI_CAIT_ETOT_CO2_Brazil
1879,1879,WRI_CAIT_ETOT_CO2_Brazil
1880,1880,WRI_CAIT_ETOT_CO2_Brazil
1881,1881,WRI_CAIT_ETOT_CO2_Brazil
1882,1882,WRI_CAIT_ETOT_CO2_Brazil
1883,1883,WRI_CAIT_ETOT_CO2_Brazil
1884,1884,WRI_CAIT_ETOT_CO2_Brazil
1885,1885,WRI_CAIT_ETOT_CO2_Brazil
1886,1886,WRI_CAIT_ETOT_CO2_Brazil
1887,1887,WRI_CAIT_ETOT_CO2_Brazil
1888,1888,WRI_CAIT_ETOT_CO2_Brazil
1889,1889,WRI_CAIT_ETOT_CO2_Brazil
1890,1890,WRI_CAIT_ETOT_CO2_Brazil
1891,1891,WRI_CAIT_ETOT_CO2_Brazil
1892,1892,WRI_CAIT_ETOT_CO2_Brazil
1893,1893,WRI_CAIT_ETOT_CO2_Brazil
1894,1894,WRI_CAIT_ETOT_CO2_Brazil
1895,1895,WRI_CAIT_ETOT_CO2_Brazil
1896,1896,WRI_CAIT_ETOT_CO2_Brazil
1897,1897,WRI_CAIT_ETOT_CO2_Brazil
1898,1898,WRI_CAIT_ETOT_CO2_Brazil
1899,1899,WRI_CAIT_ETOT_CO2_Brazil
1900,1900,WRI_CAIT_ETOT_CO2_Brazil
1901,1901,2.1031,WRI_CAIT_ETOT_CO2_Brazil
1902,1902,2.5062,WRI_CAIT_ETOT_CO2_Brazil
1903,1903,2.4402,WRI_CAIT_ETOT_CO2_Brazil
1904,1904,2.6198,WRI_CAIT_ETOT_CO2_Brazil
1905,1905,2.7993,WRI_CAIT_ETOT_CO2_Brazil
1906,1906,3.206,WRI_CAIT_ETOT_CO2_Brazil
1907,1907,3.4515,WRI_CAIT_ETOT_CO2_Brazil
1908,1908,3.5944,WRI_CAIT_ETOT_CO2_Brazil
1909,1909,3.609,WRI_CAIT_ETOT_CO2_Brazil
1910,1910,4.1989,WRI_CAIT_ETOT_CO2_Brazil
1911,1911,4.6056,WRI_CAIT_ETOT_CO2_Brazil
1912,1912,5.5913,WRI_CAIT_ETOT_CO2_Brazil
1913,1913,6.0346,WRI_CAIT_ETOT_CO2_Brazil
1914,1914,4.1073,WRI_CAIT_ETOT_CO2_Brazil
1915,1915,3.1437,WRI_CAIT_ETOT_CO2_Brazil
1916,1916,2.8799,WRI_CAIT_ETOT_CO2_Brazil
1917,1917,2.4988,WRI_CAIT_ETOT_CO2_Brazil
1918,1918,2.323,WRI_CAIT_ETOT_CO2_Brazil
1919,1919,3.0704,WRI_CAIT_ETOT_CO2_Brazil
1920,1920,3.6457,WRI_CAIT_ETOT_CO2_Brazil
1921,1921,2.8909,WRI_CAIT_ETOT_CO2_Brazil
1922,1922,3.7812,WRI_CAIT_ETOT_CO2_Brazil
1923,1923,4.6166,WRI_CAIT_ETOT_CO2_Brazil
1924,1924,5.104,WRI_CAIT_ETOT_CO2_Brazil
1925,1925,5.3751,WRI_CAIT_ETOT_CO2_Brazil
1926,1926,5.4777,WRI_CAIT_ETOT_CO2_Brazil
1927,1927,6.0749,WRI_CAIT_ETOT_CO2_Brazil
1928,1928,5.9284,WRI_CAIT_ETOT_CO2_Brazil
1929,1929,6.346,WRI_CAIT_ETOT_CO2_Brazil
1930,1930,5.518,WRI_CAIT_ETOT_CO2_Brazil
1931,1931,4.1696,WRI_CAIT_ETOT_CO2_Brazil
1932,1932,4.1696,WRI_CAIT_ETOT_CO2_Brazil
1933,1933,4.7229,WRI_CAIT_ETOT_CO2_Brazil
1934,1934,4.624,WRI_CAIT_ETOT_CO2_Brazil
1935,1935,5.5143,WRI_CAIT_ETOT_CO2_Brazil
1936,1936,5.1516,WRI_CAIT_ETOT_CO2_Brazil
1937,1937,6.0896,WRI_CAIT_ETOT_CO2_Brazil
1938,1938,6.0932,WRI_CAIT_ETOT_CO2_Brazil
1939,1939,5.9467,WRI_CAIT_ETOT_CO2_Brazil
1940,1940,6.4889,WRI_CAIT_ETOT_CO2_Brazil
1941,1941,6.2838,WRI_CAIT_ETOT_CO2_Brazil
1942,1942,5.8734,WRI_CAIT_ETOT_CO2_Brazil
1943,1943,6.4816,WRI_CAIT_ETOT_CO2_Brazil
1944,1944,5.899,WRI_CAIT_ETOT_CO2_Brazil
1945,1945,6.826,WRI_CAIT_ETOT_CO2_Brazil
1946,1946,7.4672,WRI_CAIT_ETOT_CO2_Brazil
1947,1947,8.9512,WRI_CAIT_ETOT_CO2_Brazil
1948,1948,7.852,WRI_CAIT_ETOT_CO2_Brazil
1949,1949,7.3756,WRI_CAIT_ETOT_CO2_Brazil
1950,1950,19.6574,WRI_CAIT_ETOT_CO2_Brazil
1951,1951,21.6506,WRI_CAIT_ETOT_CO2_Brazil
1952,1952,24.9299,WRI_CAIT_ETOT_CO2_Brazil
1953,1953,25.179,WRI_CAIT_ETOT_CO2_Brazil
1954,1954,29.5648,WRI_CAIT_ETOT_CO2_Brazil
1955,1955,33.9176,WRI_CAIT_ETOT_CO2_Brazil
1956,1956,36.4568,WRI_CAIT_ETOT_CO2_Brazil
1957,1957,35.8083,WRI_CAIT_ETOT_CO2_Brazil
1958,1958,38.7578,WRI_CAIT_ETOT_CO2_Brazil
1959,1959,38.5856,WRI_CAIT_ETOT_CO2_Brazil
1960,1960,46.324,WRI_CAIT_ETOT_CO2_Brazil
1961,1961,48.6103,WRI_CAIT_ETOT_CO2_Brazil
1962,1962,53.1353,WRI_CAIT_ETOT_CO2_Brazil
1963,1963,55.0772,WRI_CAIT_ETOT_CO2_Brazil
1964,1964,56.1361,WRI_CAIT_ETOT_CO2_Brazil
1965,1965,55.7001,WRI_CAIT_ETOT_CO2_Brazil
1966,1966,63.4788,WRI_CAIT_ETOT_CO2_Brazil
1967,1967,65.2961,WRI_CAIT_ETOT_CO2_Brazil
1968,1968,76.3724,WRI_CAIT_ETOT_CO2_Brazil
1969,1969,82.9713,WRI_CAIT_ETOT_CO2_Brazil
1970,1970,91.7942,WRI_CAIT_ETOT_CO2_Brazil
1971,1971,95.1241,WRI_CAIT_ETOT_CO2_Brazil
1972,1972,104.0319,WRI_CAIT_ETOT_CO2_Brazil
1973,1973,122.1258,WRI_CAIT_ETOT_CO2_Brazil
1974,1974,135.0606,WRI_CAIT_ETOT_CO2_Brazil
1975,1975,144.3573,WRI_CAIT_ETOT_CO2_Brazil
1976,1976,159.1211,WRI_CAIT_ETOT_CO2_Brazil
1977,1977,164.4767,WRI_CAIT_ETOT_CO2_Brazil
1978,1978,180.3019,WRI_CAIT_ETOT_CO2_Brazil
1979,1979,193.5853,WRI_CAIT_ETOT_CO2_Brazil
1980,1980,191.1395,WRI_CAIT_ETOT_CO2_Brazil
1981,1981,177.7516,WRI_CAIT_ETOT_CO2_Brazil
1982,1982,179.01,WRI_CAIT_ETOT_CO2_Brazil
1983,1983,168.3884,WRI_CAIT_ETOT_CO2_Brazil
1984,1984,171.6366,WRI_CAIT_ETOT_CO2_Brazil
1985,1985,176.2788,WRI_CAIT_ETOT_CO2_Brazil
1986,1986,196.7128,WRI_CAIT_ETOT_CO2_Brazil
1987,1987,201.8088,WRI_CAIT_ETOT_CO2_Brazil
1988,1988,205.4791,WRI_CAIT_ETOT_CO2_Brazil
1989,1989,207.9464,WRI_CAIT_ETOT_CO2_Brazil
1990,1990,207.956,WRI_CAIT_ETOT_CO2_Brazil
1991,1991,214.988,WRI_CAIT_ETOT_CO2_Brazil
1992,1992,217.9696,WRI_CAIT_ETOT_CO2_Brazil
1993,1993,224.8841,WRI_CAIT_ETOT_CO2_Brazil
1994,1994,233.3842,WRI_CAIT_ETOT_CO2_Brazil
1995,1995,251.6037,WRI_CAIT_ETOT_CO2_Brazil
1996,1996,273.9978,WRI_CAIT_ETOT_CO2_Brazil
1997,1997,294.1065,WRI_CAIT_ETOT_CO2_Brazil
1998,1998,303.6795,WRI_CAIT_ETOT_CO2_Brazil
1999,1999,314.6126,WRI_CAIT_ETOT_CO2_Brazil
2000,2000,326.8958,WRI_CAIT_ETOT_CO2_Brazil
2001,2001,332.995,WRI_CAIT_ETOT_CO2_Brazil
2002,2002,331.49,WRI_CAIT_ETOT_CO2_Brazil
2003,2003,322.7236,WRI_CAIT_ETOT_CO2_Brazil
2004,2004,340.5358,WRI_CAIT_ETOT_CO2_Brazil
2005,2005,346.5112,WRI_CAIT_ETOT_CO2_Brazil
2006,2006,352.1808,WRI_CAIT_ETOT_CO2_Brazil
2007,2007,369.3556,WRI_CAIT_ETOT_CO2_Brazil
2008,2008,391.9075,WRI_CAIT_ETOT_CO2_Brazil
2009,2009,370.3887,WRI_CAIT_ETOT_CO2_Brazil
2010,2010,422.4304,WRI_CAIT_ETOT_CO2_Brazil
2011,2011,443.1584,WRI_CAIT_ETOT_CO2_Brazil
2012,2012,477.7701,WRI_CAIT_ETOT_CO2_Brazil
