"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO2,DATASET
2009-10-01:13:00,01/10/2009,14, , ,MGSET_01_2009_2018_PA
2009-10-01:14:00,01/10/2009,15,1.43, ,MGSET_01_2009_2018_PA
2009-10-01:15:00,01/10/2009,16,1.49, ,MGSET_01_2009_2018_PA
2009-10-01:16:00,01/10/2009,17,1.53, ,MGSET_01_2009_2018_PA
2009-10-01:17:00,01/10/2009,18,1.54, ,MGSET_01_2009_2018_PA
2009-10-01:18:00,01/10/2009,19,1.54, ,MGSET_01_2009_2018_PA
2009-10-01:19:00,01/10/2009,20,1.53, ,MGSET_01_2009_2018_PA
2009-10-01:20:00,01/10/2009,21,1.34, ,MGSET_01_2009_2018_PA
2009-10-01:21:00,01/10/2009,22,1.16, ,MGSET_01_2009_2018_PA
2009-10-01:22:00,01/10/2009,23,1.19, ,MGSET_01_2009_2018_PA
2009-10-01:23:00,01/10/2009,24,1.26, ,MGSET_01_2009_2018_PA
2009-10-02:0:00,02/10/2009,1,1.31, ,MGSET_01_2009_2018_PA
2009-10-02:1:00,02/10/2009,2,1.3, ,MGSET_01_2009_2018_PA
2009-10-02:2:00,02/10/2009,3,1.29, ,MGSET_01_2009_2018_PA
2009-10-02:3:00,02/10/2009,4,1.28, ,MGSET_01_2009_2018_PA
2009-10-02:4:00,02/10/2009,5,1.23, ,MGSET_01_2009_2018_PA
2009-10-02:5:00,02/10/2009,6,1.15, ,MGSET_01_2009_2018_PA
2009-10-02:6:00,02/10/2009,7,1.03, ,MGSET_01_2009_2018_PA
2009-10-02:7:00,02/10/2009,8,0.93, ,MGSET_01_2009_2018_PA
2009-10-02:8:00,02/10/2009,9,0.89, ,MGSET_01_2009_2018_PA
2009-10-02:9:00,02/10/2009,10,0.91, ,MGSET_01_2009_2018_PA
2009-10-02:10:00,02/10/2009,11,0.9, ,MGSET_01_2009_2018_PA
2009-10-02:11:00,02/10/2009,12,0.88, ,MGSET_01_2009_2018_PA
2009-10-04:12:00,04/10/2009,13,0.49, ,MGSET_01_2009_2018_PA
2009-10-04:13:00,04/10/2009,14,0.53, ,MGSET_01_2009_2018_PA
2009-10-04:14:00,04/10/2009,15,0.58, ,MGSET_01_2009_2018_PA
2009-10-04:15:00,04/10/2009,16,0.64, ,MGSET_01_2009_2018_PA
2009-10-04:16:00,04/10/2009,17,0.68, ,MGSET_01_2009_2018_PA
2009-10-04:17:00,04/10/2009,18,0.73, ,MGSET_01_2009_2018_PA
2009-10-04:18:00,04/10/2009,19,0.79, ,MGSET_01_2009_2018_PA
2009-10-04:19:00,04/10/2009,20,0.88, ,MGSET_01_2009_2018_PA
2009-10-04:20:00,04/10/2009,21,0.96, ,MGSET_01_2009_2018_PA
2009-10-04:21:00,04/10/2009,22,1.03, ,MGSET_01_2009_2018_PA
2009-10-04:22:00,04/10/2009,23,1.06, ,MGSET_01_2009_2018_PA
2009-10-04:23:00,04/10/2009,24,1.08, ,MGSET_01_2009_2018_PA
2009-10-05:0:00,05/10/2009,1,1.1, ,MGSET_01_2009_2018_PA
2009-10-05:1:00,05/10/2009,2,1.1, ,MGSET_01_2009_2018_PA
2009-10-05:2:00,05/10/2009,3,1.08, ,MGSET_01_2009_2018_PA
2009-10-05:3:00,05/10/2009,4,1.01, ,MGSET_01_2009_2018_PA
2009-10-05:4:00,05/10/2009,5,0.93, ,MGSET_01_2009_2018_PA
