Fecha,Hora,CO ppm,O3 ppb,SO2 ppb,NO pbb,NO2  pbb,NOX pbb,PM10 (µg/m3)-Promedio de 24 horas
2010-01-01,00,<LD,16,0.3,---,---,---,16.5
2010-01-01,01,<LD,14,0.4,---,---,---,16.5
2010-01-01,02,<LD,9,0.4,---,---,---,16.5
2010-01-01,03,<LD,16,0.3,---,---,---,16.3
2010-01-01,04,<LD,16,0.3,---,---,---,16.3
2010-01-01,05,<LD,8,0.4,---,---,---,16.1
2010-01-01,06,<LD,9,0.4,---,---,---,15.8
2010-01-01,07,<LD,13,0.4,---,---,---,15.5
2010-01-01,08,<LD,12,0.3,---,---,---,14.9
2010-01-01,09,<LD,10,0.3,---,---,---,14.4
2010-01-01,10,<LD,9,0.3,---,---,---,13.1
2010-01-01,11,<LD,9,0.3,---,---,---,12.1
2010-01-01,12,<LD,11,0.3,---,---,---,11.5
2010-01-01,13,<LD,12,0.3,---,---,---,9.7
2010-01-01,14,<LD,13,0.3,---,---,---,7.5
2010-01-01,15,<LD,14,0.3,---,---,---,6.9
2010-01-01,16,<LD,15,0.3,---,---,---,6.7
2010-01-01,17,<LD,16,0.3,---,---,---,6.4
2010-01-01,18,<LD,15,0.3,---,---,---,7.1
2010-01-01,19,<LD,12,0.3,---,---,---,6.9
2010-01-01,20,<LD,10,0.3,---,---,---,6.4
2010-01-01,21,<LD,9,0.3,---,---,---,6.0
2010-01-01,22,<LD,10,0.3,---,---,---,6.1
2010-01-01,23,<LD,9,0.3,---,---,---,5.9
2010-01-02,00,<LD,9,0.3,---,---,---,5.5
2010-01-02,01,<LD,10,0.3,---,---,---,5.5
2010-01-02,02,<LD,8,0.3,---,---,---,5.5
2010-01-02,03,<LD,7,0.3,---,---,---,5.5
2010-01-02,04,<LD,6,0.3,---,---,---,5.4
2010-01-02,05,<LD,5,0.3,---,---,---,5.3
2010-01-02,06,<LD,6,0.3,---,---,---,5.4
2010-01-02,07,<LD,8,0.4,---,---,---,5.5
2010-01-02,08,<LD,10,0.4,---,---,---,5.6
2010-01-02,09,<LD,12,0.5,---,---,---,5.7
2010-01-02,10,<LD,12,0.6,---,---,---,5.8
2010-01-02,11,<LD,12,0.7,---,---,---,5.8
2010-01-02,12,<LD,13,0.7,---,---,---,5.6
2010-01-02,13,<LD,15,0.5,---,---,---,5.5
2010-01-02,14,<LD,15,0.5,---,---,---,5.5
2010-01-02,15,<LD,16,0.5,---,---,---,5.5
2010-01-02,16,<LD,17,0.7,---,---,---,5.5
2010-01-02,17,<LD,17,0.7,---,---,---,5.5
2010-01-02,18,<LD,17,0.6,---,---,---,4.4
2010-01-02,19,<LD,18,0.5,---,---,---,4.5
2010-01-02,20,<LD,16,0.9,---,---,---,4.5
2010-01-02,21,0.04,13,0.7,---,---,---,4.8
2010-01-02,22,<LD,17,0.5,---,---,---,5.0
2010-01-02,23,<LD,20,0.4,---,---,---,5.6
2010-01-03,00,<LD,22,0.3,---,---,---,6.3
2010-01-03,01,<LD,20,0.3,---,---,---,6.6
2010-01-03,02,<LD,19,0.3,---,---,---,6.8
2010-01-03,03,<LD,18,0.3,---,---,---,7.1
2010-01-03,04,<LD,18,0.3,---,---,---,7.4
2010-01-03,05,<LD,18,0.3,---,---,---,7.7
2010-01-03,06,<LD,17,0.3,---,---,---,7.8
2010-01-03,07,<LD,18,0.3,---,---,---,7.8
2010-01-03,08,<LD,21,0.3,---,---,---,8.0
2010-01-03,09,<LD,24,0.3,---,---,---,8.2
2010-01-03,10,<LD,26,0.3,---,---,---,8.4
2010-01-03,11,<LD,26,0.3,---,---,---,8.5
2010-01-03,12,<LD,27,0.3,---,---,---,9.0
2010-01-03,13,<LD,27,0.3,---,---,---,9.4
2010-01-03,14,<LD,28,0.3,---,---,---,10.6
2010-01-03,15,<LD,27,0.3,---,---,---,11.6
2010-01-03,16,<LD,26,0.3,---,---,---,12.2
2010-01-03,17,<LD,25,0.3,---,---,---,13.3
2010-01-03,18,<LD,24,0.3,---,---,---,13.9
2010-01-03,19,<LD,24,0.3,---,---,---,15.1
2010-01-03,20,<LD,20,0.3,---,---,---,15.6
2010-01-03,21,<LD,19,0.3,---,---,---,15.4
2010-01-03,22,<LD,21,0.3,---,---,---,15.3
2010-01-03,23,<LD,21,0.3,---,---,---,14.7
2010-01-04,00,<LD,20,0.3,---,---,---,14.1
2010-01-04,01,<LD,21,0.3,---,---,---,13.7
