"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO,AIRQ_NO2,DATASET
2010-01-01:00:00,2010-01-01,00,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:01:00,2010-01-01,01,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:02:00,2010-01-01,02,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:03:00,2010-01-01,03,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:04:00,2010-01-01,04,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:05:00,2010-01-01,05,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:06:00,2010-01-01,06,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:07:00,2010-01-01,07,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:08:00,2010-01-01,08,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:09:00,2010-01-01,09,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:10:00,2010-01-01,10,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:11:00,2010-01-01,11,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:12:00,2010-01-01,12,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:13:00,2010-01-01,13,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:14:00,2010-01-01,14,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:15:00,2010-01-01,15,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:16:00,2010-01-01,16,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:17:00,2010-01-01,17,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:18:00,2010-01-01,18,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:19:00,2010-01-01,19,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:20:00,2010-01-01,20,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:21:00,2010-01-01,21,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:22:00,2010-01-01,22,<LD,---,---,CALID-DE-AIRE-ANO-2010
