"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2017-05-11:16:30,05/11/2017,16:30:00,14.86,7.06,8.23,81.57,crbuoy2017
2017-05-11:16:45,05/11/2017,16:45:00,14.89,7.06,8.23,81.66,crbuoy2017
2017-05-11:17:00,05/11/2017,17:00:00,14.89,7.08,8.26,81.94,crbuoy2017
2017-05-11:17:15,05/11/2017,17:15:00,14.79,7.1,8.23,81.39,crbuoy2017
2017-05-11:17:30,05/11/2017,17:30:00,14.86,7.11,8.28,82.08,crbuoy2017
2017-05-11:17:45,05/11/2017,17:45:00,14.72,7.06,8.25,81.55,crbuoy2017
2017-05-11:18:00,05/11/2017,18:00:00,14.67,7.06,8.24,81.38,crbuoy2017
2017-05-11:18:15,05/11/2017,18:15:00,14.66,7.08,8.24,81.3,crbuoy2017
2017-05-11:18:30,05/11/2017,18:30:00,14.58,7.07,8.23,81.04,crbuoy2017
2017-05-11:18:45,05/11/2017,18:45:00,14.53,7.06,8.17,80.39,crbuoy2017
2017-05-11:19:00,05/11/2017,19:00:00,14.52,7.08,8.14,80.1,crbuoy2017
2017-05-11:19:15,05/11/2017,19:15:00,14.48,7.06,8.14,80,crbuoy2017
2017-05-11:19:30,05/11/2017,19:30:00,14.44,7.07,8.12,79.75,crbuoy2017
2017-05-11:19:45,05/11/2017,19:45:00,14.4,7.06,8.11,79.55,crbuoy2017
2017-05-11:20:00,05/11/2017,20:00:00,14.38,7.06,8.11,79.56,crbuoy2017
2017-05-11:20:15,05/11/2017,20:15:00,14.35,7.08,8.05,78.89,crbuoy2017
2017-05-11:20:30,05/11/2017,20:30:00,14.32,7.09,8,78.4,crbuoy2017
2017-05-11:20:45,05/11/2017,20:45:00,14.28,7.08,8.03,78.63,crbuoy2017
2017-05-11:21:00,05/11/2017,21:00:00,14.27,7.09,8.03,78.6,crbuoy2017
2017-05-11:21:15,05/11/2017,21:15:00,14.27,7.08,8,78.27,crbuoy2017
2017-05-11:21:30,05/11/2017,21:30:00,14.26,7.08,8.01,78.36,crbuoy2017
