"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2019-05-08:14:00,05/08/2019,14:00:00,15.1,7.06,9.8,97.55,crbuoy
2019-05-08:14:15,05/08/2019,14:15:00,15.12,7.07,9.83,97.86,crbuoy
2019-05-08:14:30,05/08/2019,14:30:00,15.16,7.1,9.85,98.17,crbuoy
2019-05-08:14:45,05/08/2019,14:45:00,15.12,7.11,9.81,97.64,crbuoy
2019-05-08:15:00,05/08/2019,15:00:00,15.22,7.1,9.86,98.37,crbuoy
2019-05-08:15:15,05/08/2019,15:15:00,15.24,7.08,9.87,98.5,crbuoy
2019-05-08:15:30,05/08/2019,15:30:00,15.28,7.09,9.89,98.77,crbuoy
2019-05-08:15:45,05/08/2019,15:45:00,15.17,7.1,9.79,97.59,crbuoy
2019-05-08:16:00,05/08/2019,16:00:00,15.19,7.11,9.81,97.8,crbuoy
2019-05-08:16:15,05/08/2019,16:15:00,15.15,7.1,9.78,97.48,crbuoy
2019-05-08:16:30,05/08/2019,16:30:00,15.27,7.08,9.84,98.27,crbuoy
2019-05-08:16:45,05/08/2019,16:45:00,14.98,7.06,9.67,95.95,crbuoy
2019-05-08:17:00,05/08/2019,17:00:00,15.03,7.1,9.74,96.82,crbuoy
2019-05-08:17:15,05/08/2019,17:15:00,15.09,7.12,9.82,97.68,crbuoy
2019-05-08:17:30,05/08/2019,17:30:00,15.08,7.11,9.76,97.08,crbuoy
2019-05-08:17:45,05/08/2019,17:45:00,14.99,7.11,9.76,96.94,crbuoy
2019-05-08:18:00,05/08/2019,18:00:00,14.95,7.13,9.73,96.57,crbuoy
2019-05-08:18:15,05/08/2019,18:15:00,14.73,7.04,9.61,94.92,crbuoy
2019-05-08:18:30,05/08/2019,18:30:00,14.61,7.07,9.58,94.33,crbuoy
2019-05-08:18:45,05/08/2019,18:45:00,14.49,7.03,9.49,93.21,crbuoy
2019-05-08:19:00,05/08/2019,19:00:00,14.38,7.01,9.38,91.91,crbuoy
2019-05-08:19:15,05/08/2019,19:15:00,14.58,7.06,9.54,93.87,crbuoy
2019-05-08:19:30,05/08/2019,19:30:00,14.29,7.05,9.34,91.32,crbuoy
2019-05-08:19:45,05/08/2019,19:45:00,14.37,7.07,9.43,92.42,crbuoy
2019-05-08:20:00,05/08/2019,20:00:00,14.37,7.06,9.47,92.8,crbuoy
2019-05-08:20:15,05/08/2019,20:15:00,14.39,7.08,9.46,92.69,crbuoy
2019-05-08:20:30,05/08/2019,20:30:00,14.4,7.08,9.45,92.6,crbuoy
2019-05-08:20:45,05/08/2019,20:45:00,14.46,7.09,9.46,92.92,crbuoy
2019-05-08:21:00,05/08/2019,21:00:00,14.48,7.1,9.44,92.72,crbuoy
2019-05-08:21:15,05/08/2019,21:15:00,14.5,7.1,9.44,92.78,crbuoy
2019-05-08:21:30,05/08/2019,21:30:00,14.49,7.08,9.43,92.64,crbuoy
2019-05-08:21:45,05/08/2019,21:45:00,14.55,7.09,9.41,92.6,crbuoy
2019-05-08:22:00,05/08/2019,22:00:00,14.57,7.1,9.43,92.85,crbuoy
2019-05-08:22:15,05/08/2019,22:15:00,14.59,7.1,9.44,92.95,crbuoy
2019-05-08:22:30,05/08/2019,22:30:00,14.65,7.11,9.47,93.38,crbuoy
2019-05-08:22:45,05/08/2019,22:45:00,14.67,7.11,9.44,93.09,crbuoy
2019-05-08:23:00,05/08/2019,23:00:00,14.67,7.11,9.47,93.37,crbuoy
2019-05-08:23:15,05/08/2019,23:15:00,14.67,7.11,9.46,93.26,crbuoy
2019-05-08:23:30,05/08/2019,23:30:00,14.7,7.11,9.44,93.11,crbuoy
2019-05-08:23:45,05/08/2019,23:45:00,14.7,7.11,9.43,93.04,crbuoy
2019-05-09:00:00,05/09/2019,00:00:00,14.72,7.11,9.45,93.32,crbuoy
