FECHA,HORA,AMPM,WATERQ_Cond
01/08/2013,03:48:00,p.m.,88.66,
01/08/2013,04:24:00,p.m.,89.2,
01/08/2013,04:46:00,p.m.,88.7,
01/08/2013,05:07:00,p.m.,89.05,
02/06/2014,01:30:00,p.m.,84.25,
02/06/2014,12:45:00,p.m.,91.5,
02/11/2012,10:45:00,a.m.,132.79,
02/11/2012,11:15:00,a.m.,133.02,
02/11/2012,11:33:00,a.m.,132.3,
02/11/2012,11:56:00,a.m.,178.29,
05/01/2012,05:55:00,p.m.,187.12,
05/02/2013,06:32:00,p.m.,175.79,
05/02/2013,06:58:00,p.m.,175.43,
05/02/2013,07:18:00,p.m.,176.27,
05/02/2013,07:36:00,p.m.,178.09,
07/08/2014,11:30:00,a.m.,84.2,
07/08/2014,11:50:00,a.m.,86.45,
16/08/2011,05:38:00,p.m.,70.23,
16/08/2011,05:58:00,p.m.,73.1,
16/08/2011,06:18:00,p.m.,76.55,
20/06/2012,02:20:00,p.m.,142.07,
20/06/2012,02:38:00,p.m.,142.11,
20/06/2012,02:57:00,p.m.,142.18,
20/06/2012,03:15:00,p.m.,142.27,
22/02/2011,01:01:00,p.m.,88.77,
22/02/2011,01:35:00,p.m.,89.94,
22/02/2011,01:56:00,p.m.,91.26,
22/02/2011,02:05:00,p.m.,90.49,
22/04/2013,06:29:00,p.m.,88.21,
22/04/2013,06:50:00,p.m.,88,
22/08/2012,05:07:00,p.m.,143,
22/08/2012,05:25:00,p.m.,143.98,
22/08/2012,05:47:00,p.m.,144,
26/11/2013,01:03:00,p.m.,125.73,
26/11/2013,12:28:00,p.m.,125.65,
