"FECHA_HORA",FECHA,HORA,AMPM,WATERQ_Redox,DATASET
2012-02-08:05:25,08/02/2012,05:25:00,p.m.,211.8,DATASET-PRN-WATERQ_Redox
2012-02-08:05:41,08/02/2012,05:41:00,p.m.,152.4,DATASET-PRN-WATERQ_Redox
2011-08-09:05:30,09/08/2011,05:30:00,p.m.,110.6,DATASET-PRN-WATERQ_Redox
2011-08-09:05:44,09/08/2011,05:44:00,p.m.,102,DATASET-PRN-WATERQ_Redox
2014-04-10:03:40,10/04/2014,03:40:00,p.m.,-105.7,DATASET-PRN-WATERQ_Redox
2014-04-10:03:45,10/04/2014,03:45:00,p.m.,-148.2,DATASET-PRN-WATERQ_Redox
2013-12-11:04:19,11/12/2013,04:19:00,p.m.,11.9,DATASET-PRN-WATERQ_Redox
2014-02-12:02:19,12/02/2014,02:19:00,p.m.,161.6,DATASET-PRN-WATERQ_Redox
2014-02-12:03:10,12/02/2014,03:10:00,p.m.,156.7,DATASET-PRN-WATERQ_Redox
2011-10-12:06:24,12/10/2011,06:24:00,p.m.,85.8,DATASET-PRN-WATERQ_Redox
2011-10-12:06:36,12/10/2011,06:36:00,p.m.,90.4,DATASET-PRN-WATERQ_Redox
2012-08-15:04:39,15/08/2012,04:39:00,p.m.,116.6,DATASET-PRN-WATERQ_Redox
2012-06-28:05:02,28/06/2012,05:02:00,p.m.,117.2,DATASET-PRN-WATERQ_Redox
2012-06-28:05:12,28/06/2012,05:12:00,p.m.,96.6,DATASET-PRN-WATERQ_Redox
