Country,Year,Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2)
Chile,1850,
Chile,1851,
Chile,1852,
Chile,1853,
Chile,1854,
Chile,1855,
Chile,1856,
Chile,1857,
Chile,1858,
Chile,1859,
Chile,1860,
Chile,1861,
Chile,1862,
Chile,1863,
Chile,1864,
Chile,1865,
Chile,1866,
Chile,1867,
Chile,1868,
Chile,1869,
Chile,1870,
Chile,1871,
Chile,1872,
Chile,1873,
Chile,1874,
Chile,1875,
Chile,1876,
Chile,1877,
Chile,1878,
Chile,1879,
Chile,1880,
Chile,1881,
Chile,1882,
Chile,1883,
Chile,1884,
Chile,1885,
Chile,1886,
Chile,1887,
Chile,1888,
Chile,1889,
Chile,1890,
Chile,1891,
Chile,1892,
Chile,1893,
Chile,1894,
Chile,1895,0.524
Chile,1896,0.5349
Chile,1897,0.6375
Chile,1898,0.7401
Chile,1899,0.6339
Chile,1900,0.85
Chile,1901,1.5682
Chile,1902,1.9602
Chile,1903,2.1618
Chile,1904,1.9676
Chile,1905,2.0775
Chile,1906,2.4402
Chile,1907,2.1801
Chile,1908,2.4585
Chile,1909,2.3523
Chile,1910,2.8103
Chile,1911,3.1071
Chile,1912,3.4625
Chile,1913,3.3562
Chile,1914,2.8433
Chile,1915,3.0668
Chile,1916,3.708
Chile,1917,4.0267
Chile,1918,3.9681
Chile,1919,3.8838
Chile,1920,2.781
Chile,1921,3.3342
Chile,1922,2.7553
Chile,1923,3.0448
Chile,1924,4.0267
Chile,1925,3.7996
Chile,1926,3.9022
Chile,1927,3.8765
Chile,1928,3.653
Chile,1929,4.0194
Chile,1930,3.8545
Chile,1931,2.9275
Chile,1932,2.8946
Chile,1933,4.0927
Chile,1934,4.8328
Chile,1935,5.1149
Chile,1936,5.0307
Chile,1937,5.2798
Chile,1938,5.529
Chile,1939,5.0087
Chile,1940,5.2615
Chile,1941,5.5693
Chile,1942,5.8111
Chile,1943,6.1116
Chile,1944,6.1409
Chile,1945,5.6426
Chile,1946,5.4337
Chile,1947,5.7085
Chile,1948,6.2068
Chile,1949,5.8771
Chile,1950,8.4528
Chile,1951,9.9844
Chile,1952,10.49
Chile,1953,10.3032
Chile,1954,11.0286
Chile,1955,11.4647
Chile,1956,11.6222
Chile,1957,11.3144
Chile,1958,11.6698
Chile,1959,11.5929
Chile,1960,11.9446
Chile,1961,12.2011
Chile,1962,13.7144
Chile,1963,14.3812
Chile,1964,14.9455
Chile,1965,15.2459
Chile,1966,16.5613
Chile,1967,16.7811
Chile,1968,18.265
Chile,1969,18.9209
Chile,1970,22.5483
Chile,1971,21.5215
Chile,1972,21.1088
Chile,1973,20.5052
Chile,1974,20.2508
Chile,1975,17.4856
Chile,1976,18.25
Chile,1977,19.1206
Chile,1978,19.8662
Chile,1979,21.1842
Chile,1980,22.0078
Chile,1981,22.087
Chile,1982,18.8143
Chile,1983,19.4865
Chile,1984,20.7262
Chile,1985,20.1508
Chile,1986,20.7745
Chile,1987,21.3028
Chile,1988,25.9319
Chile,1989,31.2134
Chile,1990,32.2099
Chile,1991,31.1758
Chile,1992,33.3907
Chile,1993,34.0525
Chile,1994,37.7772
Chile,1995,40.4643
Chile,1996,46.9126
Chile,1997,53.8339
Chile,1998,55.3408
Chile,1999,58.3158
Chile,2000,53.9061
Chile,2001,52.0557
Chile,2002,53.0381
Chile,2003,54.9888
Chile,2004,59.7967
Chile,2005,60.3027
Chile,2006,61.9985
Chile,2007,67.9414
Chile,2008,70.4203
Chile,2009,67.2864
Chile,2010,71.747
Chile,2011,78.2721
Chile,2012,80.0006
