"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,23.88,WRI_CAIT_EESS_CO2_Argentina_Transportation
1972,1972,25.53,WRI_CAIT_EESS_CO2_Argentina_Transportation
1973,1973,26,WRI_CAIT_EESS_CO2_Argentina_Transportation
1974,1974,26.32,WRI_CAIT_EESS_CO2_Argentina_Transportation
1975,1975,25.06,WRI_CAIT_EESS_CO2_Argentina_Transportation
1976,1976,25.01,WRI_CAIT_EESS_CO2_Argentina_Transportation
1977,1977,26.97,WRI_CAIT_EESS_CO2_Argentina_Transportation
1978,1978,27.65,WRI_CAIT_EESS_CO2_Argentina_Transportation
1979,1979,29.97,WRI_CAIT_EESS_CO2_Argentina_Transportation
1980,1980,30.91,WRI_CAIT_EESS_CO2_Argentina_Transportation
1981,1981,31.01,WRI_CAIT_EESS_CO2_Argentina_Transportation
1982,1982,31.14,WRI_CAIT_EESS_CO2_Argentina_Transportation
1983,1983,31.26,WRI_CAIT_EESS_CO2_Argentina_Transportation
1984,1984,29.73,WRI_CAIT_EESS_CO2_Argentina_Transportation
1985,1985,26.02,WRI_CAIT_EESS_CO2_Argentina_Transportation
1986,1986,28.39,WRI_CAIT_EESS_CO2_Argentina_Transportation
1987,1987,29.03,WRI_CAIT_EESS_CO2_Argentina_Transportation
1988,1988,27.39,WRI_CAIT_EESS_CO2_Argentina_Transportation
1989,1989,27.41,WRI_CAIT_EESS_CO2_Argentina_Transportation
1990,1990,28.16,WRI_CAIT_EESS_CO2_Argentina_Transportation
1991,1991,29.67,WRI_CAIT_EESS_CO2_Argentina_Transportation
1992,1992,31.8,WRI_CAIT_EESS_CO2_Argentina_Transportation
1993,1993,35.39,WRI_CAIT_EESS_CO2_Argentina_Transportation
1994,1994,36.78,WRI_CAIT_EESS_CO2_Argentina_Transportation
1995,1995,37.93,WRI_CAIT_EESS_CO2_Argentina_Transportation
1996,1996,39.07,WRI_CAIT_EESS_CO2_Argentina_Transportation
1997,1997,40.21,WRI_CAIT_EESS_CO2_Argentina_Transportation
1998,1998,42.08,WRI_CAIT_EESS_CO2_Argentina_Transportation
1999,1999,40.71,WRI_CAIT_EESS_CO2_Argentina_Transportation
2000,2000,39.87,WRI_CAIT_EESS_CO2_Argentina_Transportation
2001,2001,36.22,WRI_CAIT_EESS_CO2_Argentina_Transportation
2002,2002,33.75,WRI_CAIT_EESS_CO2_Argentina_Transportation
2003,2003,34.65,WRI_CAIT_EESS_CO2_Argentina_Transportation
2004,2004,37.54,WRI_CAIT_EESS_CO2_Argentina_Transportation
2005,2005,39.27,WRI_CAIT_EESS_CO2_Argentina_Transportation
2006,2006,41.41,WRI_CAIT_EESS_CO2_Argentina_Transportation
2007,2007,42.08,WRI_CAIT_EESS_CO2_Argentina_Transportation
2008,2008,44.69,WRI_CAIT_EESS_CO2_Argentina_Transportation
2009,2009,40.19,WRI_CAIT_EESS_CO2_Argentina_Transportation
2010,2010,43,WRI_CAIT_EESS_CO2_Argentina_Transportation
2011,2011,48.79,WRI_CAIT_EESS_CO2_Argentina_Transportation
2012,2012,48.32,WRI_CAIT_EESS_CO2_Argentina_Transportation
