"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,7.85,WRI_CAIT_EESS_CO2_Brazil_Other
1972,1972,9.01,WRI_CAIT_EESS_CO2_Brazil_Other
1973,1973,10.45,WRI_CAIT_EESS_CO2_Brazil_Other
1974,1974,10.89,WRI_CAIT_EESS_CO2_Brazil_Other
1975,1975,11.48,WRI_CAIT_EESS_CO2_Brazil_Other
1976,1976,12.65,WRI_CAIT_EESS_CO2_Brazil_Other
1977,1977,13.27,WRI_CAIT_EESS_CO2_Brazil_Other
1978,1978,14.1,WRI_CAIT_EESS_CO2_Brazil_Other
1979,1979,15.97,WRI_CAIT_EESS_CO2_Brazil_Other
1980,1980,17.51,WRI_CAIT_EESS_CO2_Brazil_Other
1981,1981,17.47,WRI_CAIT_EESS_CO2_Brazil_Other
1982,1982,19.08,WRI_CAIT_EESS_CO2_Brazil_Other
1983,1983,19.9,WRI_CAIT_EESS_CO2_Brazil_Other
1984,1984,19.46,WRI_CAIT_EESS_CO2_Brazil_Other
1985,1985,21.73,WRI_CAIT_EESS_CO2_Brazil_Other
1986,1986,22.38,WRI_CAIT_EESS_CO2_Brazil_Other
1987,1987,24.26,WRI_CAIT_EESS_CO2_Brazil_Other
1988,1988,26.18,WRI_CAIT_EESS_CO2_Brazil_Other
1989,1989,27.01,WRI_CAIT_EESS_CO2_Brazil_Other
1990,1990,27.34,WRI_CAIT_EESS_CO2_Brazil_Other
1991,1991,27.07,WRI_CAIT_EESS_CO2_Brazil_Other
1992,1992,28.28,WRI_CAIT_EESS_CO2_Brazil_Other
1993,1993,29.48,WRI_CAIT_EESS_CO2_Brazil_Other
1994,1994,31.21,WRI_CAIT_EESS_CO2_Brazil_Other
1995,1995,33.01,WRI_CAIT_EESS_CO2_Brazil_Other
1996,1996,33.79,WRI_CAIT_EESS_CO2_Brazil_Other
1997,1997,35.92,WRI_CAIT_EESS_CO2_Brazil_Other
1998,1998,34.52,WRI_CAIT_EESS_CO2_Brazil_Other
1999,1999,35.91,WRI_CAIT_EESS_CO2_Brazil_Other
2000,2000,35.36,WRI_CAIT_EESS_CO2_Brazil_Other
2001,2001,36.94,WRI_CAIT_EESS_CO2_Brazil_Other
2002,2002,36.37,WRI_CAIT_EESS_CO2_Brazil_Other
2003,2003,34.3,WRI_CAIT_EESS_CO2_Brazil_Other
2004,2004,34.77,WRI_CAIT_EESS_CO2_Brazil_Other
2005,2005,34.02,WRI_CAIT_EESS_CO2_Brazil_Other
2006,2006,34.12,WRI_CAIT_EESS_CO2_Brazil_Other
2007,2007,35.71,WRI_CAIT_EESS_CO2_Brazil_Other
2008,2008,37.59,WRI_CAIT_EESS_CO2_Brazil_Other
2009,2009,36.74,WRI_CAIT_EESS_CO2_Brazil_Other
2010,2010,37.73,WRI_CAIT_EESS_CO2_Brazil_Other
2011,2011,37.48,WRI_CAIT_EESS_CO2_Brazil_Other
2012,2012,38.12,WRI_CAIT_EESS_CO2_Brazil_Other
