"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,41.95,WRI_CAIT_EESS_CO2_Brazil_Transportation
1972,1972,47.26,WRI_CAIT_EESS_CO2_Brazil_Transportation
1973,1973,55.71,WRI_CAIT_EESS_CO2_Brazil_Transportation
1974,1974,61.44,WRI_CAIT_EESS_CO2_Brazil_Transportation
1975,1975,65.43,WRI_CAIT_EESS_CO2_Brazil_Transportation
1976,1976,70.62,WRI_CAIT_EESS_CO2_Brazil_Transportation
1977,1977,68.75,WRI_CAIT_EESS_CO2_Brazil_Transportation
1978,1978,73.55,WRI_CAIT_EESS_CO2_Brazil_Transportation
1979,1979,76.87,WRI_CAIT_EESS_CO2_Brazil_Transportation
1980,1980,72.57,WRI_CAIT_EESS_CO2_Brazil_Transportation
1981,1981,72.37,WRI_CAIT_EESS_CO2_Brazil_Transportation
1982,1982,72.49,WRI_CAIT_EESS_CO2_Brazil_Transportation
1983,1983,67.98,WRI_CAIT_EESS_CO2_Brazil_Transportation
1984,1984,66.91,WRI_CAIT_EESS_CO2_Brazil_Transportation
1985,1985,69.36,WRI_CAIT_EESS_CO2_Brazil_Transportation
1986,1986,76.72,WRI_CAIT_EESS_CO2_Brazil_Transportation
1987,1987,75.42,WRI_CAIT_EESS_CO2_Brazil_Transportation
1988,1988,75.53,WRI_CAIT_EESS_CO2_Brazil_Transportation
1989,1989,78.81,WRI_CAIT_EESS_CO2_Brazil_Transportation
1990,1990,81.33,WRI_CAIT_EESS_CO2_Brazil_Transportation
1991,1991,85.09,WRI_CAIT_EESS_CO2_Brazil_Transportation
1992,1992,85.72,WRI_CAIT_EESS_CO2_Brazil_Transportation
1993,1993,89.15,WRI_CAIT_EESS_CO2_Brazil_Transportation
1994,1994,93.23,WRI_CAIT_EESS_CO2_Brazil_Transportation
1995,1995,103.12,WRI_CAIT_EESS_CO2_Brazil_Transportation
1996,1996,112.5,WRI_CAIT_EESS_CO2_Brazil_Transportation
1997,1997,119.37,WRI_CAIT_EESS_CO2_Brazil_Transportation
1998,1998,125.58,WRI_CAIT_EESS_CO2_Brazil_Transportation
1999,1999,122.96,WRI_CAIT_EESS_CO2_Brazil_Transportation
2000,2000,124.16,WRI_CAIT_EESS_CO2_Brazil_Transportation
2001,2001,126.67,WRI_CAIT_EESS_CO2_Brazil_Transportation
2002,2002,128.58,WRI_CAIT_EESS_CO2_Brazil_Transportation
2003,2003,126.07,WRI_CAIT_EESS_CO2_Brazil_Transportation
2004,2004,134.89,WRI_CAIT_EESS_CO2_Brazil_Transportation
2005,2005,135.59,WRI_CAIT_EESS_CO2_Brazil_Transportation
2006,2006,138.59,WRI_CAIT_EESS_CO2_Brazil_Transportation
2007,2007,144.21,WRI_CAIT_EESS_CO2_Brazil_Transportation
2008,2008,149.54,WRI_CAIT_EESS_CO2_Brazil_Transportation
2009,2009,146.98,WRI_CAIT_EESS_CO2_Brazil_Transportation
2010,2010,166.01,WRI_CAIT_EESS_CO2_Brazil_Transportation
2011,2011,181.9,WRI_CAIT_EESS_CO2_Brazil_Transportation
2012,2012,198.89,WRI_CAIT_EESS_CO2_Brazil_Transportation
