"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,6.01,WRI_CAIT_EESS_CO2_Chile_Construction
1972,1972,6.12,WRI_CAIT_EESS_CO2_Chile_Construction
1973,1973,6,WRI_CAIT_EESS_CO2_Chile_Construction
1974,1974,6.37,WRI_CAIT_EESS_CO2_Chile_Construction
1975,1975,5.27,WRI_CAIT_EESS_CO2_Chile_Construction
1976,1976,5.48,WRI_CAIT_EESS_CO2_Chile_Construction
1977,1977,5.81,WRI_CAIT_EESS_CO2_Chile_Construction
1978,1978,5.98,WRI_CAIT_EESS_CO2_Chile_Construction
1979,1979,5.91,WRI_CAIT_EESS_CO2_Chile_Construction
1980,1980,6.18,WRI_CAIT_EESS_CO2_Chile_Construction
1981,1981,5.93,WRI_CAIT_EESS_CO2_Chile_Construction
1982,1982,4.55,WRI_CAIT_EESS_CO2_Chile_Construction
1983,1983,5.21,WRI_CAIT_EESS_CO2_Chile_Construction
1984,1984,5.8,WRI_CAIT_EESS_CO2_Chile_Construction
1985,1985,5.81,WRI_CAIT_EESS_CO2_Chile_Construction
1986,1986,6.26,WRI_CAIT_EESS_CO2_Chile_Construction
1987,1987,6.26,WRI_CAIT_EESS_CO2_Chile_Construction
1988,1988,7.53,WRI_CAIT_EESS_CO2_Chile_Construction
1989,1989,9.11,WRI_CAIT_EESS_CO2_Chile_Construction
1990,1990,7.97,WRI_CAIT_EESS_CO2_Chile_Construction
1991,1991,8.29,WRI_CAIT_EESS_CO2_Chile_Construction
1992,1992,9.41,WRI_CAIT_EESS_CO2_Chile_Construction
1993,1993,9.61,WRI_CAIT_EESS_CO2_Chile_Construction
1994,1994,10.12,WRI_CAIT_EESS_CO2_Chile_Construction
1995,1995,10.63,WRI_CAIT_EESS_CO2_Chile_Construction
1996,1996,11.81,WRI_CAIT_EESS_CO2_Chile_Construction
1997,1997,15.44,WRI_CAIT_EESS_CO2_Chile_Construction
1998,1998,14.06,WRI_CAIT_EESS_CO2_Chile_Construction
1999,1999,14.46,WRI_CAIT_EESS_CO2_Chile_Construction
2000,2000,14.07,WRI_CAIT_EESS_CO2_Chile_Construction
2001,2001,14.92,WRI_CAIT_EESS_CO2_Chile_Construction
2002,2002,14.34,WRI_CAIT_EESS_CO2_Chile_Construction
2003,2003,15.4,WRI_CAIT_EESS_CO2_Chile_Construction
2004,2004,15.24,WRI_CAIT_EESS_CO2_Chile_Construction
2005,2005,14.55,WRI_CAIT_EESS_CO2_Chile_Construction
2006,2006,16.49,WRI_CAIT_EESS_CO2_Chile_Construction
2007,2007,14.74,WRI_CAIT_EESS_CO2_Chile_Construction
2008,2008,13.69,WRI_CAIT_EESS_CO2_Chile_Construction
2009,2009,12.77,WRI_CAIT_EESS_CO2_Chile_Construction
2010,2010,15.47,WRI_CAIT_EESS_CO2_Chile_Construction
2011,2011,15.36,WRI_CAIT_EESS_CO2_Chile_Construction
2012,2012,12.91,WRI_CAIT_EESS_CO2_Chile_Construction
