"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,5.96,WRI_CAIT_EESS_CO2_Chile_Transportation
1972,1972,5.77,WRI_CAIT_EESS_CO2_Chile_Transportation
1973,1973,5.43,WRI_CAIT_EESS_CO2_Chile_Transportation
1974,1974,5.16,WRI_CAIT_EESS_CO2_Chile_Transportation
1975,1975,4.48,WRI_CAIT_EESS_CO2_Chile_Transportation
1976,1976,4.57,WRI_CAIT_EESS_CO2_Chile_Transportation
1977,1977,4.8,WRI_CAIT_EESS_CO2_Chile_Transportation
1978,1978,5.32,WRI_CAIT_EESS_CO2_Chile_Transportation
1979,1979,5.74,WRI_CAIT_EESS_CO2_Chile_Transportation
1980,1980,6.18,WRI_CAIT_EESS_CO2_Chile_Transportation
1981,1981,6.55,WRI_CAIT_EESS_CO2_Chile_Transportation
1982,1982,6.19,WRI_CAIT_EESS_CO2_Chile_Transportation
1983,1983,6.21,WRI_CAIT_EESS_CO2_Chile_Transportation
1984,1984,6.19,WRI_CAIT_EESS_CO2_Chile_Transportation
1985,1985,6.12,WRI_CAIT_EESS_CO2_Chile_Transportation
1986,1986,6.29,WRI_CAIT_EESS_CO2_Chile_Transportation
1987,1987,6.72,WRI_CAIT_EESS_CO2_Chile_Transportation
1988,1988,7.66,WRI_CAIT_EESS_CO2_Chile_Transportation
1989,1989,8.21,WRI_CAIT_EESS_CO2_Chile_Transportation
1990,1990,8.99,WRI_CAIT_EESS_CO2_Chile_Transportation
1991,1991,9.39,WRI_CAIT_EESS_CO2_Chile_Transportation
1992,1992,10.18,WRI_CAIT_EESS_CO2_Chile_Transportation
1993,1993,11.29,WRI_CAIT_EESS_CO2_Chile_Transportation
1994,1994,12.21,WRI_CAIT_EESS_CO2_Chile_Transportation
1995,1995,13.5,WRI_CAIT_EESS_CO2_Chile_Transportation
1996,1996,14.69,WRI_CAIT_EESS_CO2_Chile_Transportation
1997,1997,15.57,WRI_CAIT_EESS_CO2_Chile_Transportation
1998,1998,16.39,WRI_CAIT_EESS_CO2_Chile_Transportation
1999,1999,16.57,WRI_CAIT_EESS_CO2_Chile_Transportation
2000,2000,16.81,WRI_CAIT_EESS_CO2_Chile_Transportation
2001,2001,15.9,WRI_CAIT_EESS_CO2_Chile_Transportation
2002,2002,16.41,WRI_CAIT_EESS_CO2_Chile_Transportation
2003,2003,16.16,WRI_CAIT_EESS_CO2_Chile_Transportation
2004,2004,16.75,WRI_CAIT_EESS_CO2_Chile_Transportation
2005,2005,18.37,WRI_CAIT_EESS_CO2_Chile_Transportation
2006,2006,18.1,WRI_CAIT_EESS_CO2_Chile_Transportation
2007,2007,19.61,WRI_CAIT_EESS_CO2_Chile_Transportation
2008,2008,20.37,WRI_CAIT_EESS_CO2_Chile_Transportation
2009,2009,20.5,WRI_CAIT_EESS_CO2_Chile_Transportation
2010,2010,21.22,WRI_CAIT_EESS_CO2_Chile_Transportation
2011,2011,21.64,WRI_CAIT_EESS_CO2_Chile_Transportation
2012,2012,22.2,WRI_CAIT_EESS_CO2_Chile_Transportation
