"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,375.86,WRI_CAIT_EESS_CO2_Germany_Electricity
1972,1972,388.89,WRI_CAIT_EESS_CO2_Germany_Electricity
1973,1973,403.71,WRI_CAIT_EESS_CO2_Germany_Electricity
1974,1974,409.39,WRI_CAIT_EESS_CO2_Germany_Electricity
1975,1975,381.82,WRI_CAIT_EESS_CO2_Germany_Electricity
1976,1976,417.86,WRI_CAIT_EESS_CO2_Germany_Electricity
1977,1977,408.83,WRI_CAIT_EESS_CO2_Germany_Electricity
1978,1978,424.98,WRI_CAIT_EESS_CO2_Germany_Electricity
1979,1979,445.7,WRI_CAIT_EESS_CO2_Germany_Electricity
1980,1980,443.2,WRI_CAIT_EESS_CO2_Germany_Electricity
1981,1981,436.79,WRI_CAIT_EESS_CO2_Germany_Electricity
1982,1982,427.2,WRI_CAIT_EESS_CO2_Germany_Electricity
1983,1983,425.61,WRI_CAIT_EESS_CO2_Germany_Electricity
1984,1984,428.81,WRI_CAIT_EESS_CO2_Germany_Electricity
1985,1985,418.08,WRI_CAIT_EESS_CO2_Germany_Electricity
1986,1986,419.87,WRI_CAIT_EESS_CO2_Germany_Electricity
1987,1987,413.18,WRI_CAIT_EESS_CO2_Germany_Electricity
1988,1988,415.5,WRI_CAIT_EESS_CO2_Germany_Electricity
1989,1989,419.21,WRI_CAIT_EESS_CO2_Germany_Electricity
1990,1990,402.63,WRI_CAIT_EESS_CO2_Germany_Electricity
1991,1991,399.98,WRI_CAIT_EESS_CO2_Germany_Electricity
1992,1992,383.75,WRI_CAIT_EESS_CO2_Germany_Electricity
1993,1993,375.97,WRI_CAIT_EESS_CO2_Germany_Electricity
1994,1994,376.24,WRI_CAIT_EESS_CO2_Germany_Electricity
1995,1995,370.37,WRI_CAIT_EESS_CO2_Germany_Electricity
1996,1996,381.12,WRI_CAIT_EESS_CO2_Germany_Electricity
1997,1997,365.48,WRI_CAIT_EESS_CO2_Germany_Electricity
1998,1998,365.47,WRI_CAIT_EESS_CO2_Germany_Electricity
1999,1999,351.4,WRI_CAIT_EESS_CO2_Germany_Electricity
2000,2000,356.29,WRI_CAIT_EESS_CO2_Germany_Electricity
2001,2001,368.4,WRI_CAIT_EESS_CO2_Germany_Electricity
2002,2002,370.17,WRI_CAIT_EESS_CO2_Germany_Electricity
2003,2003,378.21,WRI_CAIT_EESS_CO2_Germany_Electricity
2004,2004,373.77,WRI_CAIT_EESS_CO2_Germany_Electricity
2005,2005,370.26,WRI_CAIT_EESS_CO2_Germany_Electricity
2006,2006,374.62,WRI_CAIT_EESS_CO2_Germany_Electricity
2007,2007,386.48,WRI_CAIT_EESS_CO2_Germany_Electricity
2008,2008,366.99,WRI_CAIT_EESS_CO2_Germany_Electricity
2009,2009,338.63,WRI_CAIT_EESS_CO2_Germany_Electricity
2010,2010,356.44,WRI_CAIT_EESS_CO2_Germany_Electricity
2011,2011,348.87,WRI_CAIT_EESS_CO2_Germany_Electricity
2012,2012,359.05,WRI_CAIT_EESS_CO2_Germany_Electricity
