"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1971,1971,251.32,WRI_CAIT_EESS_CO2_Germany_Other
1972,1972,256.46,WRI_CAIT_EESS_CO2_Germany_Other
1973,1973,270.67,WRI_CAIT_EESS_CO2_Germany_Other
1974,1974,246.74,WRI_CAIT_EESS_CO2_Germany_Other
1975,1975,241.39,WRI_CAIT_EESS_CO2_Germany_Other
1976,1976,260.17,WRI_CAIT_EESS_CO2_Germany_Other
1977,1977,255.36,WRI_CAIT_EESS_CO2_Germany_Other
1978,1978,263.32,WRI_CAIT_EESS_CO2_Germany_Other
1979,1979,277.59,WRI_CAIT_EESS_CO2_Germany_Other
1980,1980,250.55,WRI_CAIT_EESS_CO2_Germany_Other
1981,1981,236.31,WRI_CAIT_EESS_CO2_Germany_Other
1982,1982,223.9,WRI_CAIT_EESS_CO2_Germany_Other
1983,1983,217.09,WRI_CAIT_EESS_CO2_Germany_Other
1984,1984,230.99,WRI_CAIT_EESS_CO2_Germany_Other
1985,1985,247.32,WRI_CAIT_EESS_CO2_Germany_Other
1986,1986,256.93,WRI_CAIT_EESS_CO2_Germany_Other
1987,1987,250.29,WRI_CAIT_EESS_CO2_Germany_Other
1988,1988,233.23,WRI_CAIT_EESS_CO2_Germany_Other
1989,1989,202.64,WRI_CAIT_EESS_CO2_Germany_Other
1990,1990,210.18,WRI_CAIT_EESS_CO2_Germany_Other
1991,1991,210.63,WRI_CAIT_EESS_CO2_Germany_Other
1992,1992,194.07,WRI_CAIT_EESS_CO2_Germany_Other
1993,1993,199.06,WRI_CAIT_EESS_CO2_Germany_Other
1994,1994,188.14,WRI_CAIT_EESS_CO2_Germany_Other
1995,1995,190.7,WRI_CAIT_EESS_CO2_Germany_Other
1996,1996,215.32,WRI_CAIT_EESS_CO2_Germany_Other
1997,1997,200.81,WRI_CAIT_EESS_CO2_Germany_Other
1998,1998,192.24,WRI_CAIT_EESS_CO2_Germany_Other
1999,1999,175,WRI_CAIT_EESS_CO2_Germany_Other
2000,2000,170.6,WRI_CAIT_EESS_CO2_Germany_Other
2001,2001,186.65,WRI_CAIT_EESS_CO2_Germany_Other
2002,2002,174.71,WRI_CAIT_EESS_CO2_Germany_Other
2003,2003,172.4,WRI_CAIT_EESS_CO2_Germany_Other
2004,2004,162.74,WRI_CAIT_EESS_CO2_Germany_Other
2005,2005,159.41,WRI_CAIT_EESS_CO2_Germany_Other
2006,2006,167.62,WRI_CAIT_EESS_CO2_Germany_Other
2007,2007,128.99,WRI_CAIT_EESS_CO2_Germany_Other
2008,2008,152.8,WRI_CAIT_EESS_CO2_Germany_Other
2009,2009,141.97,WRI_CAIT_EESS_CO2_Germany_Other
2010,2010,150.64,WRI_CAIT_EESS_CO2_Germany_Other
2011,2011,129.94,WRI_CAIT_EESS_CO2_Germany_Other
2012,2012,137.29,WRI_CAIT_EESS_CO2_Germany_Other
