"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1850,1850,WRI_CAIT_ETOT_CO2_Argentina
1851,1851,WRI_CAIT_ETOT_CO2_Argentina
1852,1852,WRI_CAIT_ETOT_CO2_Argentina
1853,1853,WRI_CAIT_ETOT_CO2_Argentina
1854,1854,WRI_CAIT_ETOT_CO2_Argentina
1855,1855,WRI_CAIT_ETOT_CO2_Argentina
1856,1856,WRI_CAIT_ETOT_CO2_Argentina
1857,1857,WRI_CAIT_ETOT_CO2_Argentina
1858,1858,WRI_CAIT_ETOT_CO2_Argentina
1859,1859,WRI_CAIT_ETOT_CO2_Argentina
1860,1860,WRI_CAIT_ETOT_CO2_Argentina
1861,1861,WRI_CAIT_ETOT_CO2_Argentina
1862,1862,WRI_CAIT_ETOT_CO2_Argentina
1863,1863,WRI_CAIT_ETOT_CO2_Argentina
1864,1864,WRI_CAIT_ETOT_CO2_Argentina
1865,1865,WRI_CAIT_ETOT_CO2_Argentina
1866,1866,WRI_CAIT_ETOT_CO2_Argentina
1867,1867,WRI_CAIT_ETOT_CO2_Argentina
1868,1868,WRI_CAIT_ETOT_CO2_Argentina
1869,1869,WRI_CAIT_ETOT_CO2_Argentina
1870,1870,WRI_CAIT_ETOT_CO2_Argentina
1871,1871,WRI_CAIT_ETOT_CO2_Argentina
1872,1872,WRI_CAIT_ETOT_CO2_Argentina
1873,1873,WRI_CAIT_ETOT_CO2_Argentina
1874,1874,WRI_CAIT_ETOT_CO2_Argentina
1875,1875,WRI_CAIT_ETOT_CO2_Argentina
1876,1876,WRI_CAIT_ETOT_CO2_Argentina
1877,1877,WRI_CAIT_ETOT_CO2_Argentina
1878,1878,WRI_CAIT_ETOT_CO2_Argentina
1879,1879,WRI_CAIT_ETOT_CO2_Argentina
1880,1880,WRI_CAIT_ETOT_CO2_Argentina
1881,1881,WRI_CAIT_ETOT_CO2_Argentina
1882,1882,WRI_CAIT_ETOT_CO2_Argentina
1883,1883,WRI_CAIT_ETOT_CO2_Argentina
1884,1884,WRI_CAIT_ETOT_CO2_Argentina
1885,1885,WRI_CAIT_ETOT_CO2_Argentina
1886,1886,WRI_CAIT_ETOT_CO2_Argentina
1887,1887,1.0845,WRI_CAIT_ETOT_CO2_Argentina
1888,1888,0.8904,WRI_CAIT_ETOT_CO2_Argentina
1889,1889,1.7551,WRI_CAIT_ETOT_CO2_Argentina
1890,1890,1.3703,WRI_CAIT_ETOT_CO2_Argentina
1891,1891,0.938,WRI_CAIT_ETOT_CO2_Argentina
1892,1892,1.385,WRI_CAIT_ETOT_CO2_Argentina
1893,1893,1.5535,WRI_CAIT_ETOT_CO2_Argentina
1894,1894,1.9932,WRI_CAIT_ETOT_CO2_Argentina
1895,1895,2.2644,WRI_CAIT_ETOT_CO2_Argentina
1896,1896,2.3047,WRI_CAIT_ETOT_CO2_Argentina
1897,1897,2.0812,WRI_CAIT_ETOT_CO2_Argentina
1898,1898,2.3486,WRI_CAIT_ETOT_CO2_Argentina
1899,1899,2.9202,WRI_CAIT_ETOT_CO2_Argentina
1900,1900,2.0702,WRI_CAIT_ETOT_CO2_Argentina
1901,1901,2.4915,WRI_CAIT_ETOT_CO2_Argentina
1902,1902,2.814,WRI_CAIT_ETOT_CO2_Argentina
1903,1903,2.8616,WRI_CAIT_ETOT_CO2_Argentina
1904,1904,3.7959,WRI_CAIT_ETOT_CO2_Argentina
1905,1905,3.9828,WRI_CAIT_ETOT_CO2_Argentina
1906,1906,6.2544,WRI_CAIT_ETOT_CO2_Argentina
1907,1907,6.2544,WRI_CAIT_ETOT_CO2_Argentina
1908,1908,7.6175,WRI_CAIT_ETOT_CO2_Argentina
1909,1909,5.9393,WRI_CAIT_ETOT_CO2_Argentina
1910,1910,8.9108,WRI_CAIT_ETOT_CO2_Argentina
1911,1911,9.9441,WRI_CAIT_ETOT_CO2_Argentina
1912,1912,9.4788,WRI_CAIT_ETOT_CO2_Argentina
1913,1913,10.142,WRI_CAIT_ETOT_CO2_Argentina
1914,1914,8.669,WRI_CAIT_ETOT_CO2_Argentina
1915,1915,6.936,WRI_CAIT_ETOT_CO2_Argentina
1916,1916,4.983,WRI_CAIT_ETOT_CO2_Argentina
1917,1917,2.2314,WRI_CAIT_ETOT_CO2_Argentina
1918,1918,2.5208,WRI_CAIT_ETOT_CO2_Argentina
1919,1919,3.7263,WRI_CAIT_ETOT_CO2_Argentina
1920,1920,5.8917,WRI_CAIT_ETOT_CO2_Argentina
1921,1921,5.54,WRI_CAIT_ETOT_CO2_Argentina
1922,1922,7.3024,WRI_CAIT_ETOT_CO2_Argentina
1923,1923,8.4419,WRI_CAIT_ETOT_CO2_Argentina
1924,1924,10.959,WRI_CAIT_ETOT_CO2_Argentina
1925,1925,11.2375,WRI_CAIT_ETOT_CO2_Argentina
1926,1926,11.2558,WRI_CAIT_ETOT_CO2_Argentina
1927,1927,13.3699,WRI_CAIT_ETOT_CO2_Argentina
1928,1928,12.7397,WRI_CAIT_ETOT_CO2_Argentina
1929,1929,13.1318,WRI_CAIT_ETOT_CO2_Argentina
1930,1930,12.769,WRI_CAIT_ETOT_CO2_Argentina
1931,1931,12.846,WRI_CAIT_ETOT_CO2_Argentina
1932,1932,13.1025,WRI_CAIT_ETOT_CO2_Argentina
1933,1933,13.2307,WRI_CAIT_ETOT_CO2_Argentina
1934,1934,14.242,WRI_CAIT_ETOT_CO2_Argentina
1935,1935,13.9965,WRI_CAIT_ETOT_CO2_Argentina
1936,1936,15.0993,WRI_CAIT_ETOT_CO2_Argentina
1937,1937,16.7188,WRI_CAIT_ETOT_CO2_Argentina
1938,1938,16.3488,WRI_CAIT_ETOT_CO2_Argentina
1939,1939,17.382,WRI_CAIT_ETOT_CO2_Argentina
1940,1940,15.8651,WRI_CAIT_ETOT_CO2_Argentina
1941,1941,13.9452,WRI_CAIT_ETOT_CO2_Argentina
1942,1942,13.4799,WRI_CAIT_ETOT_CO2_Argentina
1943,1943,14.0844,WRI_CAIT_ETOT_CO2_Argentina
1944,1944,13.9562,WRI_CAIT_ETOT_CO2_Argentina
1945,1945,13.6704,WRI_CAIT_ETOT_CO2_Argentina
1946,1946,13.707,WRI_CAIT_ETOT_CO2_Argentina
1947,1947,14.5168,WRI_CAIT_ETOT_CO2_Argentina
1948,1948,17.3967,WRI_CAIT_ETOT_CO2_Argentina
1949,1949,15.3705,WRI_CAIT_ETOT_CO2_Argentina
1950,1950,29.9276,WRI_CAIT_ETOT_CO2_Argentina
1951,1951,34.9692,WRI_CAIT_ETOT_CO2_Argentina
1952,1952,36.1014,WRI_CAIT_ETOT_CO2_Argentina
1953,1953,35.1414,WRI_CAIT_ETOT_CO2_Argentina
1954,1954,36.7609,WRI_CAIT_ETOT_CO2_Argentina
1955,1955,39.5675,WRI_CAIT_ETOT_CO2_Argentina
1956,1956,44.3051,WRI_CAIT_ETOT_CO2_Argentina
1957,1957,47.6173,WRI_CAIT_ETOT_CO2_Argentina
1958,1958,44.2025,WRI_CAIT_ETOT_CO2_Argentina
1959,1959,48.9584,WRI_CAIT_ETOT_CO2_Argentina
1960,1960,48.7752,WRI_CAIT_ETOT_CO2_Argentina
1961,1961,51.1384,WRI_CAIT_ETOT_CO2_Argentina
1962,1962,53.652,WRI_CAIT_ETOT_CO2_Argentina
1963,1963,50.0429,WRI_CAIT_ETOT_CO2_Argentina
1964,1964,55.6855,WRI_CAIT_ETOT_CO2_Argentina
1965,1965,58.8182,WRI_CAIT_ETOT_CO2_Argentina
1966,1966,60.7418,WRI_CAIT_ETOT_CO2_Argentina
1967,1967,62.6874,WRI_CAIT_ETOT_CO2_Argentina
1968,1968,66.1499,WRI_CAIT_ETOT_CO2_Argentina
1969,1969,74.4342,WRI_CAIT_ETOT_CO2_Argentina
1970,1970,79.8569,WRI_CAIT_ETOT_CO2_Argentina
1971,1971,85.5353,WRI_CAIT_ETOT_CO2_Argentina
1972,1972,86.455,WRI_CAIT_ETOT_CO2_Argentina
1973,1973,90.1031,WRI_CAIT_ETOT_CO2_Argentina
1974,1974,90.2857,WRI_CAIT_ETOT_CO2_Argentina
1975,1975,88.2324,WRI_CAIT_ETOT_CO2_Argentina
1976,1976,92.4069,WRI_CAIT_ETOT_CO2_Argentina
1977,1977,96.2298,WRI_CAIT_ETOT_CO2_Argentina
1978,1978,95.6974,WRI_CAIT_ETOT_CO2_Argentina
1979,1979,101.0632,WRI_CAIT_ETOT_CO2_Argentina
1980,1980,99.1741,WRI_CAIT_ETOT_CO2_Argentina
1981,1981,97.6723,WRI_CAIT_ETOT_CO2_Argentina
1982,1982,99.1181,WRI_CAIT_ETOT_CO2_Argentina
1983,1983,102.722,WRI_CAIT_ETOT_CO2_Argentina
1984,1984,101.6362,WRI_CAIT_ETOT_CO2_Argentina
1985,1985,96.2166,WRI_CAIT_ETOT_CO2_Argentina
1986,1986,100.1694,WRI_CAIT_ETOT_CO2_Argentina
1987,1987,109.7591,WRI_CAIT_ETOT_CO2_Argentina
1988,1988,113.8021,WRI_CAIT_ETOT_CO2_Argentina
1989,1989,112.8124,WRI_CAIT_ETOT_CO2_Argentina
1990,1990,106.357,WRI_CAIT_ETOT_CO2_Argentina
1991,1991,111.6405,WRI_CAIT_ETOT_CO2_Argentina
1992,1992,113.9208,WRI_CAIT_ETOT_CO2_Argentina
1993,1993,115.3229,WRI_CAIT_ETOT_CO2_Argentina
1994,1994,123.4174,WRI_CAIT_ETOT_CO2_Argentina
1995,1995,126.5423,WRI_CAIT_ETOT_CO2_Argentina
1996,1996,135.907,WRI_CAIT_ETOT_CO2_Argentina
1997,1997,139.6335,WRI_CAIT_ETOT_CO2_Argentina
1998,1998,143.3634,WRI_CAIT_ETOT_CO2_Argentina
1999,1999,146.645,WRI_CAIT_ETOT_CO2_Argentina
2000,2000,146.025,WRI_CAIT_ETOT_CO2_Argentina
2001,2001,135.5755,WRI_CAIT_ETOT_CO2_Argentina
2002,2002,127.8437,WRI_CAIT_ETOT_CO2_Argentina
2003,2003,138.7102,WRI_CAIT_ETOT_CO2_Argentina
2004,2004,154.2489,WRI_CAIT_ETOT_CO2_Argentina
2005,2005,157.6305,WRI_CAIT_ETOT_CO2_Argentina
2006,2006,167.9118,WRI_CAIT_ETOT_CO2_Argentina
2007,2007,174.9396,WRI_CAIT_ETOT_CO2_Argentina
2008,2008,185.8391,WRI_CAIT_ETOT_CO2_Argentina
2009,2009,178.1424,WRI_CAIT_ETOT_CO2_Argentina
2010,2010,183.1064,WRI_CAIT_ETOT_CO2_Argentina
2011,2011,191.0226,WRI_CAIT_ETOT_CO2_Argentina
2012,2012,195.7599,WRI_CAIT_ETOT_CO2_Argentina
