1850,1850,WRI_CAIT_ETOT_CO2_Chile
1851,1851,WRI_CAIT_ETOT_CO2_Chile
1852,1852,WRI_CAIT_ETOT_CO2_Chile
1853,1853,WRI_CAIT_ETOT_CO2_Chile
1854,1854,WRI_CAIT_ETOT_CO2_Chile
1855,1855,WRI_CAIT_ETOT_CO2_Chile
1856,1856,WRI_CAIT_ETOT_CO2_Chile
1857,1857,WRI_CAIT_ETOT_CO2_Chile
1858,1858,WRI_CAIT_ETOT_CO2_Chile
1859,1859,WRI_CAIT_ETOT_CO2_Chile
1860,1860,WRI_CAIT_ETOT_CO2_Chile
1861,1861,WRI_CAIT_ETOT_CO2_Chile
1862,1862,WRI_CAIT_ETOT_CO2_Chile
1863,1863,WRI_CAIT_ETOT_CO2_Chile
1864,1864,WRI_CAIT_ETOT_CO2_Chile
1865,1865,WRI_CAIT_ETOT_CO2_Chile
1866,1866,WRI_CAIT_ETOT_CO2_Chile
1867,1867,WRI_CAIT_ETOT_CO2_Chile
1868,1868,WRI_CAIT_ETOT_CO2_Chile
1869,1869,WRI_CAIT_ETOT_CO2_Chile
1870,1870,WRI_CAIT_ETOT_CO2_Chile
1871,1871,WRI_CAIT_ETOT_CO2_Chile
1872,1872,WRI_CAIT_ETOT_CO2_Chile
1873,1873,WRI_CAIT_ETOT_CO2_Chile
1874,1874,WRI_CAIT_ETOT_CO2_Chile
1875,1875,WRI_CAIT_ETOT_CO2_Chile
1876,1876,WRI_CAIT_ETOT_CO2_Chile
1877,1877,WRI_CAIT_ETOT_CO2_Chile
1878,1878,WRI_CAIT_ETOT_CO2_Chile
1879,1879,WRI_CAIT_ETOT_CO2_Chile
1880,1880,WRI_CAIT_ETOT_CO2_Chile
1881,1881,WRI_CAIT_ETOT_CO2_Chile
1882,1882,WRI_CAIT_ETOT_CO2_Chile
1883,1883,WRI_CAIT_ETOT_CO2_Chile
1884,1884,WRI_CAIT_ETOT_CO2_Chile
1885,1885,WRI_CAIT_ETOT_CO2_Chile
1886,1886,WRI_CAIT_ETOT_CO2_Chile
1887,1887,WRI_CAIT_ETOT_CO2_Chile
1888,1888,WRI_CAIT_ETOT_CO2_Chile
1889,1889,WRI_CAIT_ETOT_CO2_Chile
1890,1890,WRI_CAIT_ETOT_CO2_Chile
1891,1891,WRI_CAIT_ETOT_CO2_Chile
1892,1892,WRI_CAIT_ETOT_CO2_Chile
1893,1893,WRI_CAIT_ETOT_CO2_Chile
1894,1894,WRI_CAIT_ETOT_CO2_Chile
1895,1895,0.524,WRI_CAIT_ETOT_CO2_Chile
1896,1896,0.5349,WRI_CAIT_ETOT_CO2_Chile
1897,1897,0.6375,WRI_CAIT_ETOT_CO2_Chile
1898,1898,0.7401,WRI_CAIT_ETOT_CO2_Chile
1899,1899,0.6339,WRI_CAIT_ETOT_CO2_Chile
1900,1900,0.85,WRI_CAIT_ETOT_CO2_Chile
1901,1901,1.5682,WRI_CAIT_ETOT_CO2_Chile
1902,1902,1.9602,WRI_CAIT_ETOT_CO2_Chile
1903,1903,2.1618,WRI_CAIT_ETOT_CO2_Chile
1904,1904,1.9676,WRI_CAIT_ETOT_CO2_Chile
1905,1905,2.0775,WRI_CAIT_ETOT_CO2_Chile
1906,1906,2.4402,WRI_CAIT_ETOT_CO2_Chile
1907,1907,2.1801,WRI_CAIT_ETOT_CO2_Chile
1908,1908,2.4585,WRI_CAIT_ETOT_CO2_Chile
1909,1909,2.3523,WRI_CAIT_ETOT_CO2_Chile
1910,1910,2.8103,WRI_CAIT_ETOT_CO2_Chile
1911,1911,3.1071,WRI_CAIT_ETOT_CO2_Chile
1912,1912,3.4625,WRI_CAIT_ETOT_CO2_Chile
1913,1913,3.3562,WRI_CAIT_ETOT_CO2_Chile
1914,1914,2.8433,WRI_CAIT_ETOT_CO2_Chile
1915,1915,3.0668,WRI_CAIT_ETOT_CO2_Chile
1916,1916,3.708,WRI_CAIT_ETOT_CO2_Chile
1917,1917,4.0267,WRI_CAIT_ETOT_CO2_Chile
1918,1918,3.9681,WRI_CAIT_ETOT_CO2_Chile
1919,1919,3.8838,WRI_CAIT_ETOT_CO2_Chile
1920,1920,2.781,WRI_CAIT_ETOT_CO2_Chile
1921,1921,3.3342,WRI_CAIT_ETOT_CO2_Chile
1922,1922,2.7553,WRI_CAIT_ETOT_CO2_Chile
1923,1923,3.0448,WRI_CAIT_ETOT_CO2_Chile
1924,1924,4.0267,WRI_CAIT_ETOT_CO2_Chile
1925,1925,3.7996,WRI_CAIT_ETOT_CO2_Chile
1926,1926,3.9022,WRI_CAIT_ETOT_CO2_Chile
1927,1927,3.8765,WRI_CAIT_ETOT_CO2_Chile
1928,1928,3.653,WRI_CAIT_ETOT_CO2_Chile
1929,1929,4.0194,WRI_CAIT_ETOT_CO2_Chile
1930,1930,3.8545,WRI_CAIT_ETOT_CO2_Chile
1931,1931,2.9275,WRI_CAIT_ETOT_CO2_Chile
1932,1932,2.8946,WRI_CAIT_ETOT_CO2_Chile
